macro_f1	balanced_accuracy	mcc	quadratic_kappa	macro_precision	macro_recall	recall_class0	recall_class1	roc_auc	average_precision	fold	best_params	model
0.973379889162956	0.9993917274939172	0.9481060644722462	0.9467614837593696	0.95	0.9993917274939172	0.9987834549878345	1.0	0.9995606920789403	0.9572623478841231	0	"{""model__n_estimators"": 300, ""model__min_samples_leaf"": 2, ""model__max_features"": ""log2"", ""model__max_depth"": null}"	random_forest
0.8572990619898935	0.8867586393453709	0.7167925489880779	0.7146181840900927	0.8321138211382113	0.8867586393453709	0.995739500912964	0.7777777777777778	0.9968891593967674	0.7981456052070088	1	"{""model__n_estimators"": 300, ""model__min_samples_leaf"": 2, ""model__max_features"": 0.5, ""model__max_depth"": 16}"	random_forest
0.8422302431610942	0.8046425914654765	0.6900250124389299	0.684508433368789	0.8907320669615751	0.8046425914654765	0.9981740718198417	0.6111111111111112	0.9820450395617772	0.7063917194187078	2	"{""model__n_estimators"": 300, ""model__min_samples_leaf"": 2, ""model__max_features"": ""sqrt"", ""model__max_depth"": 16}"	random_forest
0.8987812309567338	0.9426185162642862	0.8017035205765413	0.7975871313672922	0.863026235509457	0.9426185162642862	0.9963481436396835	0.8888888888888888	0.9972949212145803	0.8050794931857884	3	"{""model__n_estimators"": 1000, ""model__min_samples_leaf"": 2, ""model__max_features"": ""sqrt"", ""model__max_depth"": 8}"	random_forest
0.9091916095262611	0.9198360865667818	0.8186602209853803	0.8183846357863862	0.8990870359099209	0.9198360865667818	0.9975669099756691	0.8421052631578947	0.9964784223332053	0.8790363213157772	4	"{""model__n_estimators"": 300, ""model__min_samples_leaf"": 2, ""model__max_features"": ""log2"", ""model__max_depth"": 12}"	random_forest
0.9590031162893956	0.9716139497161395	0.9183499677807964	0.9180069067587568	0.9470640996892719	0.9716139497161395	0.9987834549878345	0.9444444444444444	0.9999324141659909	0.9944444444444445	0	"{""model__n_estimators"": 300, ""model__min_samples_leaf"": 1, ""model__max_features"": 0.8, ""model__max_depth"": 16}"	extra_trees
0.8553135888501742	0.9139277743964294	0.718256620452363	0.7107027780196813	0.811583689676237	0.9139277743964294	0.9945222154595252	0.8333333333333334	0.9969567863664028	0.8177337422567011	1	"{""model__n_estimators"": 1000, ""model__min_samples_leaf"": 2, ""model__max_features"": 0.5, ""model__max_depth"": 16}"	extra_trees
0.9108522971232289	0.8882802461621695	0.8231659236103874	0.8217109735589825	0.9362841945288753	0.8882802461621695	0.9987827145465612	0.7777777777777778	0.9878440522080204	0.8021853576108698	2	"{""model__n_estimators"": 600, ""model__min_samples_leaf"": 1, ""model__max_features"": 0.5, ""model__max_depth"": 16}"	extra_trees
0.88767160343545	0.88767160343545	0.7753432068709001	0.7753432068709001	0.88767160343545	0.88767160343545	0.9975654290931223	0.7777777777777778	0.9673868938932848	0.8742877342418414	3	"{""model__n_estimators"": 600, ""model__min_samples_leaf"": 1, ""model__max_features"": ""log2"", ""model__max_depth"": null}"	extra_trees
0.8989364934670313	0.8678127801254962	0.8008989551992542	0.7978887789294581	0.9359820886460231	0.8678127801254962	0.9987834549878345	0.7368421052631579	0.996542451018056	0.9025094412999157	4	"{""model__n_estimators"": 600, ""model__min_samples_leaf"": 1, ""model__max_features"": 0.5, ""model__max_depth"": 16}"	extra_trees
0.9610818405338953	0.9990875912408759	0.9249749876842625	0.9221691486372576	0.9285714285714286	0.9990875912408759	0.9981751824817519	1.0	0.9996282779129495	0.9639422420640171	0	"{""model__l2_regularization"": 0.0004934017179235844, ""model__learning_rate"": 0.15972509023977752, ""model__max_iter"": 500, ""model__max_leaf_nodes"": 63, ""model__min_samples_leaf"": 5}"	hist_gradient_boosting
0.9091903121753868	0.942922837627646	0.8208835110329457	0.8183933898755135	0.88034262485482	0.942922837627646	0.996956786366403	0.8888888888888888	0.9967539054574964	0.823486916133975	1	"{""model__l2_regularization"": 2.9659924684613195, ""model__learning_rate"": 0.10530854144284704, ""model__max_iter"": 500, ""model__max_leaf_nodes"": 31, ""model__min_samples_leaf"": 40}"	hist_gradient_boosting
0.810676291793313	0.776560492324339	0.6264181782272055	0.6214101200425468	0.8547141989764941	0.776560492324339	0.9975654290931223	0.5555555555555556	0.972239128964631	0.6907191743206176	2	"{""model__l2_regularization"": 2.0975978584118136, ""model__learning_rate"": 0.06767927307142636, ""model__max_iter"": 300, ""model__max_leaf_nodes"": 63, ""model__min_samples_leaf"": 40}"	hist_gradient_boosting
0.8535720340419761	0.9410969094474877	0.7222892258037489	0.7073048405243111	0.7956843011922572	0.9410969094474877	0.9933049300060864	0.8888888888888888	0.9869479948603503	0.8152675604472991	3	"{""model__l2_regularization"": 0.0482893199850144, ""model__learning_rate"": 0.02720978641465246, ""model__max_iter"": 500, ""model__max_leaf_nodes"": 31, ""model__min_samples_leaf"": 40}"	hist_gradient_boosting
0.9316723229766708	0.9204443590728646	0.8636683985741093	0.8633457688957549	0.9435325903411009	0.9204443590728646	0.9987834549878345	0.8421052631578947	0.9961582789089511	0.8499015938729602	4	"{""model__l2_regularization"": 0.011324568199510816, ""model__learning_rate"": 0.24351125989065872, ""model__max_iter"": 150, ""model__max_leaf_nodes"": 63, ""model__min_samples_leaf"": 10}"	hist_gradient_boosting
