model	macro_f1_full	macro_f1_control	delta
extra_trees	0.9003057918281666	0.9088346241081391	0.008528832279972476
hist_gradient_boosting	0.8970301395153243	0.8799215010001717	-0.01710863851515254
ordinal_forest	0.8947374563644702	0.9062323857640667	0.01149492939959651
k_nearest_neighbors	0.894702394422874	0.9151738930316325	0.02047149860875852
random_forest	0.8923431011147486	0.9006093316143193	0.00826623049957076
svm_rbf	0.8137637293838502	0.8594957451140373	0.04573201573018704
logistic_regression	0.686398268907839	0.7439226574587731	0.057524388550934114
prior_baseline	0.5025671664209483	0.4911416949264421	-0.011425471494506234
