scheme	model	macro_f1_mean	macro_f1_std	macro_f1_count	balanced_accuracy_mean	balanced_accuracy_std	balanced_accuracy_count	mcc_mean	mcc_std	mcc_count	quadratic_kappa_mean	quadratic_kappa_std	quadratic_kappa_count	macro_precision_mean	macro_precision_std	macro_precision_count	macro_recall_mean	macro_recall_std	macro_recall_count	roc_auc_mean	roc_auc_std	roc_auc_count	average_precision_mean	average_precision_std	average_precision_count	macro_f1_sem	balanced_accuracy_sem	mcc_sem	quadratic_kappa_sem	macro_precision_sem	macro_recall_sem	roc_auc_sem	average_precision_sem
2class	extra_trees	0.9003057918281666	0.04099058870778414	25	0.8656072410843791	0.05321217855050107	25	0.8070020060420792	0.078814085234202	25	0.8006493586297246	0.08194601172426616	25	0.947614043545576	0.039982039392676	25	0.8656072410843791	0.05321217855050107	25	0.9930242006821708	0.010030381785811471	25	0.8663464230914406	0.07802126527029912	25	0.008198117741556828	0.010642435710100213	0.015762817046840398	0.01638920234485323	0.0079964078785352	0.010642435710100213	0.0020060763571622944	0.015604253054059825
2class	hist_gradient_boosting	0.8970301395153243	0.045471635271440144	25	0.9010637346906947	0.05299795980440946	25	0.797336108932646	0.08917124598926277	25	0.7940860409375865	0.09091792717948421	25	0.8994103182832167	0.05913846059393384	25	0.9010637346906947	0.05299795980440946	25	0.976211861959265	0.031635182125151026	25	0.8051848228575256	0.09008125853089499	25	0.009094327054288028	0.010599591960881892	0.017834249197852554	0.01818358543589684	0.01182769211878677	0.010599591960881892	0.006327036425030205	0.018016251706178998
2class	ordinal_forest	0.8947374563644702	0.037356224376453966	25	0.9041827113145999	0.04925585027472107	25	0.792332839074913	0.07316658021370559	25	0.7894964544502175	0.07469403796274324	25	0.8908822966078637	0.04706967805466961	25	0.9041827113145999	0.04925585027472107	25	0.9923574982015287	0.0068223309961691955	25	0.8229506774498622	0.08412354717092471	25	0.007471244875290793	0.009851170054944213	0.014633316042741118	0.014938807592548647	0.009413935610933923	0.009851170054944213	0.001364466199233839	0.01682470943418494
2class	k_nearest_neighbors	0.894702394422874	0.04120711680119863	25	0.8663968541534117	0.05664568545399206	25	0.7944903925398445	0.07904710568286624	25	0.7894389371905532	0.08237997884544009	25	0.9330357887239401	0.03522134447734456	25	0.8663968541534117	0.05664568545399206	25	0.9480349658755732	0.04381829604826243	25	0.8030424382507086	0.09978315963624237	25	0.008241423360239726	0.011329137090798412	0.01580942113657325	0.016475995769088016	0.007044268895468912	0.011329137090798412	0.008763659209652486	0.019956631927248475
2class	random_forest	0.8923431011147486	0.0380154564973087	25	0.9008493779812666	0.05305015195411481	25	0.7877608123598698	0.07423891955896095	25	0.7847099230968567	0.07600879445544553	25	0.8898544951119594	0.04536977312814926	25	0.9008493779812666	0.05305015195411481	25	0.9905389733948886	0.013748584506294913	25	0.8255582285064252	0.08433435286868311	25	0.0076030912994617394	0.010610030390822962	0.01484778391179219	0.015201758891089106	0.009073954625629852	0.010610030390822962	0.0027497169012589825	0.016866870573736623
2class	svm_rbf	0.8137637293838502	0.04598397117772889	25	0.7556389901669658	0.05357816064721981	25	0.6520461034417747	0.08521775165556902	25	0.6277781095646996	0.09183542870542578	25	0.9214432121722638	0.05725917304879756	25	0.7556389901669658	0.05357816064721981	25	0.9903599495904117	0.0058564794903765765	25	0.7453946942624563	0.08753159695858938	25	0.009196794235545779	0.010715632129443962	0.017043550331113804	0.018367085741085157	0.011451834609759511	0.010715632129443962	0.0011712958980753152	0.017506319391717876
2class	logistic_regression	0.686398268907839	0.021273294422585555	25	0.9572911813366399	0.029046139991571598	25	0.47302090914760464	0.03386759403116523	25	0.37895387408728837	0.04072658274073864	25	0.6229611114867988	0.016094057298321838	25	0.9572911813366399	0.029046139991571598	25	0.9931292233785143	0.005262091317889947	25	0.7843829114014169	0.09150666534626033	25	0.004254658884517111	0.005809227998314319	0.0067735188062330465	0.008145316548147728	0.0032188114596643676	0.005809227998314319	0.0010524182635779894	0.018301333069252065
2class	prior_baseline	0.5025671664209483	0.016154952217216273	25	0.5023047805148904	0.014188840518461447	25	0.005364160805763412	0.032648906801254485	25	0.0053006799008626345	0.03231437728015227	25	0.5031211091352163	0.01878796052996641	25	0.5023047805148904	0.014188840518461447	25	0.5023047805148904	0.014188840518461438	25	0.012036864996869954	0.003035185253988027	25	0.0032309904434432548	0.002837768103692289	0.006529781360250897	0.006462875456030454	0.003757592105993282	0.002837768103692289	0.0028377681036922875	0.0006070370507976054
3class	random_forest	0.6470637022836143	0.03307420232780581	25	0.7543222146544342	0.04605207621081829	25	0.40948288624976653	0.032559949469378555	25	0.5720394023996401	0.036965314112597444	25	0.6153251372449264	0.03777512209365341	25	0.7543222146544342	0.04605207621081829	25	0.9686409251203925	0.007295901240633042	25	0.6353606290128776	0.031350782751346444	25	0.006614840465561161	0.009210415242163658	0.006511989893875711	0.007393062822519489	0.0075550244187306825	0.009210415242163658	0.0014591802481266083	0.006270156550269289
3class	ordinal_forest	0.6378336802489131	0.036195456666996625	25	0.7656040354254984	0.0564945853515711	25	0.3998173758663846	0.03714655261643564	25	0.5332256679253583	0.04085176542526465	25	0.6090399406109693	0.038318196614119025	25	0.7656040354254984	0.0564945853515711	25	0.9690702808147094	0.005520138189940292	25	0.62774357624176	0.03571177627566308	25	0.007239091333399325	0.01129891707031422	0.007429310523287128	0.00817035308505293	0.007663639322823805	0.01129891707031422	0.0011040276379880583	0.007142355255132617
