repeat	fold	method	kind	roc_auc	average_precision	recall_at_target_fpr	realised_fpr	n_pathogenic
0	0	isolation_forest	one_class	0.9422141119221411	0.13237676909261617	0.6111111111111112	0.05596107055961071	18
0	0	single: mlc_score	single_feature	0.8913557718302244	0.05759455377532996	0.3888888888888889	0.06690997566909976	18
0	0	single: phyloP100way	single_feature	0.9842862935928629	0.3548991858940065	1.0	0.04805352798053528	18
0	0	single: hom_rarity_soft	single_feature	0.8404467423628008	0.033177343129915535	0.0	0.0	18
0	0	single: cons_missense	single_feature	0.6554136253041363	0.019477662454873645	0.0	0.0	18
0	0	single: cons_synonymous	single_feature	0.8004866180048662	0.026706231454005934	0.0	0.0	18
0	0	single: cons_truncating	single_feature	0.5018248175182483	0.010869565217391304	0.0	0.0	18
0	0	single: cons_noncoding_rna	single_feature	0.6931265206812653	0.028374346128343036	0.0	0.0	18
0	0	single: cons_intergenic	single_feature	0.5462287104622872	0.011920529801324504	0.0	0.0	18
0	0	supervised model	supervised	0.9995606920789403	0.9572623478841231	1.0	0.052311435523114354	18
0	1	isolation_forest	one_class	0.9630756745790221	0.13672187678769915	0.7222222222222222	0.05356055995130858	18
0	1	single: mlc_score	single_feature	0.8925407452492055	0.06691607677292617	0.4444444444444444	0.051734631771150334	18
0	1	single: phyloP100way	single_feature	0.96070873064178	0.23780619521175647	0.7777777777777778	0.06695069993913573	18
0	1	single: hom_rarity_soft	single_feature	0.7856732264827212	0.027877799917595942	0.0	0.0	18
0	1	single: cons_missense	single_feature	0.5967572868059781	0.014921974550871337	0.0	0.0	18
0	1	single: cons_synonymous	single_feature	0.7991479001825929	0.02654867256637168	0.0	0.0	18
0	1	single: cons_truncating	single_feature	0.5027388922702374	0.010895883777239709	0.0	0.0	18
0	1	single: cons_noncoding_rna	single_feature	0.7510820315141679	0.03959444567670431	0.0	0.0	18
0	1	single: cons_intergenic	single_feature	0.5459525258673159	0.011920529801324504	0.0	0.0	18
0	1	supervised model	supervised	0.9967539054574964	0.7961574233332059	1.0	0.06999391357273281	18
0	2	isolation_forest	one_class	0.9037668222086968	0.08681209307534869	0.5555555555555556	0.05599513085818624	18
0	2	single: mlc_score	single_feature	0.9063366470548455	0.062455999663533546	0.3333333333333333	0.051734631771150334	18
0	2	single: phyloP100way	single_feature	0.9109183742476499	0.15979905022807642	0.5555555555555556	0.04625684723067559	18
0	2	single: hom_rarity_soft	single_feature	0.7540068979509027	0.02495929561992798	0.0	0.0	18
0	2	single: cons_missense	single_feature	0.6357949550280652	0.01819702971839414	0.0	0.0	18
0	2	single: cons_synonymous	single_feature	0.8161898965307365	0.028938906752411574	0.0	0.0	18
0	2	single: cons_truncating	single_feature	0.5042604990870359	0.01092896174863388	0.0	0.0	18
0	2	single: cons_noncoding_rna	single_feature	0.7226956110096706	0.03390305397864082	0.0	0.0	18
0	2	single: cons_intergenic	single_feature	0.5380401704199635	0.01171875	0.0	0.0	18
0	2	supervised model	supervised	0.9810982619868804	0.6858110692629664	0.8888888888888888	0.06390748630553865	18
0	3	isolation_forest	one_class	0.9473524041387706	0.1642822238816028	0.7777777777777778	0.05356055995130858	18
0	3	single: mlc_score	single_feature	0.9285521065801042	0.11769810493801104	0.5555555555555556	0.05782105903834449	18
0	3	single: phyloP100way	single_feature	0.94571245012511	0.1624577855599116	0.7777777777777778	0.0505173463177115	18
