metric	point_estimate	ci_lower	ci_upper	n_bootstrap
macro_f1	0.9031596288640567	0.8687052519161323	0.9326701278929287	2000
balanced_accuracy	0.9163045789551814	0.8748836880351827	0.9566209877305827	2000
mcc	0.8067419301668647	0.7388003966154251	0.8659359028098524	2000
quadratic_kappa	0.8063215152986887	0.7374113236307215	0.8653413064208589	2000
