macro_f1	balanced_accuracy	mcc	quadratic_kappa	macro_precision	macro_recall	recall_class0	recall_class1	roc_auc	average_precision	repeat	fold	n_test	scheme	model	recall_class2	recall_class3
0.6990188872199674	0.9844890510948905	0.5027692276019099	0.4035465484483851	0.6304347826086957	0.9844890510948905	0.968978102189781	1.0	0.9991889699918897	0.9254006910224661	0	0	1662	2class	logistic_regression		
0.6561076604554865	0.9518326908771217	0.42697966280604804	0.32121780309859493	0.600873418485974	0.9518326908771217	0.9592209373097992	0.9444444444444444	0.994961790762156	0.7523329104942285	0	1	1661	2class	logistic_regression		
0.6997360714414838	0.8779333198079394	0.4580020690399319	0.4022384568323317	0.6387585350713842	0.8779333198079394	0.9780888618381011	0.7777777777777778	0.9799486035030771	0.6378819370725425	0	2	1661	2class	logistic_regression		
0.6625113544007266	0.9793061472915399	0.4479283230463957	0.3342214467603507	0.6046511627906976	0.9793061472915399	0.9586122945830797	1.0	0.996010008791506	0.7370527298788169	0	3	1661	2class	logistic_regression		
0.7407514000311785	0.9881386861313868	0.5655218839784141	0.4846361057474553	0.6637931034482758	0.9881386861313868	0.9762773722627737	1.0	0.9971507235241389	0.8259282834360233	0	4	1663	2class	logistic_regression		
0.6892961662525535	0.983272506082725	0.48818661122900703	0.3849166296580403	0.6232876712328768	0.983272506082725	0.9665450121654501	1.0	0.9973641524736414	0.8562584011060141	1	0	1662	2class	logistic_regression		
0.6972552141260318	0.9576147967809563	0.48866582418700216	0.3994451126377073	0.6304559475612107	0.9576147967809563	0.970785149117468	0.9444444444444444	0.9951646716710624	0.8101081304569677	1	1	1661	2class	logistic_regression		
0.6688050055005501	0.9274024480963008	0.4346041194527647	0.34418440005990547	0.610481784490595	0.9274024480963008	0.9659160073037127	0.8888888888888888	0.9906674781903022	0.7638809101026617	1	2	1661	2class	logistic_regression		
0.6740580847723705	0.9811320754716981	0.465305742455715	0.3559519193485847	0.6125	0.9811320754716981	0.9622641509433962	1.0	0.9962467031852303	0.6701430845724324	1	3	1661	2class	logistic_regression		
0.7096210930679239	0.9596939428864131	0.5079398252593571	0.4235786927439398	0.6403123045653534	0.9596939428864131	0.9720194647201946	0.9473684210526315	0.9888590088359586	0.86730857717048	1	4	1663	2class	logistic_regression		
0.6965108439150467	0.9841849148418491	0.4990084015082393	0.39873100684588414	0.6285714285714286	0.9841849148418491	0.9683698296836983	1.0	0.9987496620708299	0.8936416297935905	2	0	1662	2class	logistic_regression		
0.6921223354958295	0.9570061540542368	0.4809783391605341	0.3895714584249097	0.6265519953557183	0.9570061540542368	0.9695678636640293	0.9444444444444444	0.986711300466626	0.7244567270565433	2	1	1661	2class	logistic_regression		
0.6589282361776025	0.9786975045648205	0.44252773621771097	0.32752258557068326	0.6022727272727273	0.9786975045648205	0.9573950091296409	1.0	0.9984783931832014	0.9200484467291191	2	2	1661	2class	logistic_regression		
0.716068376068376	0.9328802326367756	0.5054148125673578	0.4352645178838569	0.6475258706123672	0.9328802326367756	0.9768715763846622	0.8888888888888888	0.9901264624332183	0.6976286247977812	2	3	1661	2class	logistic_regression		
0.6579292347839435	0.9275995646049431	0.4197803409108143	0.32409446335086467	0.6030260255164221	0.9275995646049431	0.9604622871046229	0.8947368421052632	0.9894992956844667	0.6604620555550348	2	4	1663	2class	logistic_regression		
0.7141577240129751	0.959448499594485	0.513997758907905	0.4321334922526817	0.6437558814510927	0.959448499594485	0.9744525547445255	0.9444444444444444	0.9874628277912949	0.8032862916610444	3	0	1662	2class	logistic_regression		
0.678200557966522	0.9817407181984175	0.4715314092801573	0.36379653745978247	0.6153846153846154	0.9817407181984175	0.963481436396835	1.0	0.9993575437884629	0.9385750939565944	3	1	1661	2class	logistic_regression		
0.6797887106724244	0.9023635625887605	0.43952501569858377	0.3643224542281551	0.6200296556315439	0.9023635625887605	0.9713937918441875	0.8333333333333334	0.9861702847095422	0.5919032252053951	3	2	1661	2class	logistic_regression		
0.6625113544007266	0.9793061472915399	0.4479283230463957	0.3342214467603507	0.6046511627906976	0.9793061472915399	0.9586122945830797	1.0	0.9970582268208561	0.777122102538585	3	3	1661	2class	logistic_regression		
0.6825165894248999	0.9563484441029582	0.4674104267323919	0.3715205379482903	0.6196851385390428	0.9563484441029582	0.9653284671532847	0.9473684210526315	0.9944935331028302	0.809197588756952	3	4	1663	2class	logistic_regression		
0.6980425612588275	0.9310624493106245	0.4783551632739093	0.4002635790266402	0.63270911360799	0.9310624493106245	0.9732360097323601	0.8888888888888888	0.9855366315220331	0.7265053504062239	4	0	1662	2class	logistic_regression		
0.6940504696997605	0.9838709677419355	0.4953211341113151	0.3940167821962788	0.6267605633802817	0.9838709677419355	0.967741935483871	1.0	0.9976330560627579	0.8386594396398319	4	1	1661	2class	logistic_regression		
0.6921223354958295	0.9570061540542368	0.4809783391605341	0.3895714584249097	0.6265519953557183	0.9570061540542368	0.9695678636640293	0.9444444444444444	0.9951984851558802	0.7963987224923391	4	2	1661	2class	logistic_regression		
0.678200557966522	0.9817407181984175	0.4715314092801573	0.36379653745978247	0.6153846153846154	0.9817407181984175	0.963481436396835	1.0	0.996821532427132	0.8327051842566029	4	3	1661	2class	logistic_regression		
0.6616458980884143	0.9282078371110257	0.42533082977756403	0.33108287901384303	0.6056182880606443	0.9282078371110257	0.9616788321167883	0.8947368421052632	0.989371238314765	0.7526866468771503	4	4	1663	2class	logistic_regression		
0.9590031162893956	0.9716139497161395	0.9183499677807964	0.9180069067587568	0.9470640996892719	0.9716139497161395	0.9987834549878345	0.9444444444444444	0.9995944849959448	0.9573258328740786	0	0	1662	2class	random_forest		
0.8832446870826403	0.9148407384865085	0.7688380300105118	0.766505786982803	0.8562282229965157	0.9148407384865085	0.9963481436396835	0.8333333333333334	0.9968215324271319	0.7713819459407696	0	1	1661	2class	random_forest		
0.8422302431610942	0.8046425914654765	0.6900250124389299	0.684508433368789	0.8907320669615751	0.8046425914654765	0.9981740718198417	0.6111111111111112	0.9759078920673565	0.6771615668016913	0	2	1661	2class	random_forest		
0.904339956394751	0.9154493812132278	0.8089836968332229	0.8086814868444869	0.893823322007821	0.9154493812132278	0.9975654290931223	0.8333333333333334	0.9971596672753094	0.789170299761676	0	3	1661	2class	random_forest		
0.8987827145465612	0.9195319503137405	0.7985948772424846	0.7975715894221114	0.8800388608549388	0.9195319503137405	0.9969586374695864	0.8421052631578947	0.9962223075938019	0.8909609716742679	0	4	1663	2class	random_forest		
0.8387749445676275	0.9133211678832117	0.689487630100259	0.6776928191489362	0.7875446680458905	0.9133211678832117	0.9933090024330901	0.8333333333333334	0.9980400108137334	0.8887828646048082	1	0	1662	2class	random_forest		
0.8209094206094824	0.7768648136876987	0.6505827075107081	0.6419065911451698	0.8821882001493653	0.7768648136876987	0.9981740718198417	0.5555555555555556	0.9888415500101441	0.7897697365903988	1	1	1661	2class	random_forest		
0.88767160343545	0.88767160343545	0.7753432068709001	0.7753432068709001	0.88767160343545	0.88767160343545	0.9975654290931223	0.7777777777777778	0.9809630080476094	0.7358921220174417	1	2	1661	2class	random_forest		
0.8987812309567338	0.9426185162642862	0.8017035205765413	0.7975871313672922	0.863026235509457	0.9426185162642862	0.9963481436396835	0.8888888888888888	0.9983769527287483	0.7921526437020334	1	3	1661	2class	random_forest		
0.9278117810478794	0.8944327058522218	0.8588628755794596	0.8556348420924701	0.9675356709168185	0.8944327058522218	0.9993917274939172	0.7894736842105263	0.9922205147906262	0.8958987402876758	1	4	1663	2class	random_forest		
0.9278113191156669	0.916058394160584	0.8559808160009883	0.8556238924215573	0.9402646164848918	0.916058394160584	0.9987834549878345	0.8333333333333334	0.9994255204109219	0.9400018306236055	2	0	1662	2class	random_forest		
0.8641773403409133	0.914232095759789	0.7340200269172653	0.7284051551142361	0.8251712056059882	0.914232095759789	0.9951308581862447	0.8333333333333334	0.9870663420572123	0.7207914285958662	2	1	1661	2class	random_forest		
0.9201391114815052	0.9432271589910055	0.8414767205957528	0.840283342414821	0.8993906154783669	0.9432271589910055	0.9975654290931223	0.8888888888888888	0.998681274092108	0.9434544152589267	2	2	1661	2class	random_forest		
0.853471344135031	0.8049469128288362	0.7165706091457402	0.7070144836642298	0.9209531366691561	0.8049469128288362	0.9987827145465612	0.6111111111111112	0.9315615067288834	0.7521429211739424	2	3	1661	2class	random_forest		
0.9091916095262611	0.9198360865667818	0.8186602209853803	0.8183846357863862	0.8990870359099209	0.9198360865667818	0.9975669099756691	0.8421052631578947	0.9920924574209246	0.7977010629232806	2	4	1663	2class	random_forest		
0.8928758874064252	0.8605028386050284	0.7891024911302362	0.785769528228925	0.9318154219793564	0.8605028386050284	0.9987834549878345	0.7222222222222222	0.9902000540686672	0.8474720801778759	3	0	1662	2class	random_forest		
0.9610815623608802	0.9990870359099209	0.9249744730778134	0.9221685956609343	0.9285714285714286	0.9990870359099209	0.9981740718198417	1.0	0.9996956786366403	0.9680427370378353	3	1	1661	2class	random_forest		
0.8402782229630105	0.8589808615675931	0.6815332319350633	0.680566684829642	0.8234765386959171	0.8589808615675931	0.995739500912964	0.7222222222222222	0.9869141813755327	0.7153739637366265	3	2	1661	2class	random_forest		
0.8888723693698382	0.9423141949009264	0.7837815576592586	0.7777860360025568	0.8472155863460211	0.9423141949009264	0.995739500912964	0.8888888888888888	0.9979035639412998	0.8466601220703388	3	3	1661	2class	random_forest		
0.8989364934670313	0.8678127801254962	0.8008989551992542	0.7978887789294581	0.9359820886460231	0.8678127801254962	0.9987834549878345	0.7368421052631579	0.9943334613907031	0.7729987873809384	3	4	1663	2class	random_forest		
