macro_f1	balanced_accuracy	mcc	quadratic_kappa	macro_precision	macro_recall	recall_class0	recall_class1	roc_auc	average_precision	repeat	fold	n_test
0.973379889162956	0.9993917274939172	0.9481060644722462	0.9467614837593696	0.95	0.9993917274939172	0.9987834549878345	1.0	0.9995606920789403	0.9572623478841231	0	0	1662
0.8734765386959171	0.9145364171231487	0.7508391375483657	0.7469839142091153	0.839993898718731	0.9145364171231487	0.995739500912964	0.8333333333333334	0.9967539054574964	0.7961574233332059	0	1	1661
0.8422302431610942	0.8046425914654765	0.6900250124389299	0.684508433368789	0.8907320669615751	0.8046425914654765	0.9981740718198417	0.6111111111111112	0.9810982619868804	0.6858110692629664	0	2	1661
0.9091903121753868	0.942922837627646	0.8208835110329457	0.8183933898755135	0.88034262485482	0.942922837627646	0.996956786366403	0.8888888888888888	0.9978359369716643	0.8507066208484477	0	3	1661
0.9091916095262611	0.9198360865667818	0.8186602209853803	0.8183846357863862	0.8990870359099209	0.9198360865667818	0.9975669099756691	0.8421052631578947	0.9961262645665259	0.8776578752004892	0	4	1663
0.8387749445676275	0.9133211678832117	0.689487630100259	0.6776928191489362	0.7875446680458905	0.9133211678832117	0.9933090024330901	0.8333333333333334	0.9973979453906462	0.843694721681715	1	0	1662
0.8811363961643051	0.860198147021032	0.7636310198780504	0.7622812980786433	0.9047302431610942	0.860198147021032	0.9981740718198417	0.7222222222222222	0.9912761209170217	0.8307610759171649	1	1	1661
0.88767160343545	0.88767160343545	0.7753432068709001	0.7753432068709001	0.88767160343545	0.88767160343545	0.9975654290931223	0.7777777777777778	0.993237303036451	0.7609807566945912	1	2	1661
0.8987812309567338	0.9426185162642862	0.8017035205765413	0.7975871313672922	0.863026235509457	0.9426185162642862	0.9963481436396835	0.8888888888888888	0.9987150875769256	0.8769467408618596	1	3	1661
0.9438365417088821	0.920748495325906	0.8890801173418719	0.8876768768363108	0.9696769351726109	0.920748495325906	0.9993917274939172	0.8421052631578947	0.9889070303495966	0.8980618454622356	1	4	1663
0.9590031162893956	0.9716139497161395	0.9183499677807964	0.9180069067587568	0.9470640996892719	0.9716139497161395	0.9987834549878345	0.9444444444444444	0.9994255204109219	0.9415382571600321	2	0	1662
0.8734765386959171	0.9145364171231487	0.7508391375483657	0.7469839142091153	0.839993898718731	0.9145364171231487	0.995739500912964	0.8333333333333334	0.9877933319807939	0.6660665944864796	2	1	1661
0.9201391114815052	0.9432271589910055	0.8414767205957528	0.840283342414821	0.8993906154783669	0.9432271589910055	0.9975654290931223	0.8888888888888888	0.9983769527287483	0.9064965746246154	2	2	1661
0.8737841945288753	0.8327246906066139	0.7536318466506543	0.7476067466950311	0.9267499349466563	0.8327246906066139	0.9987827145465612	0.6666666666666666	0.9901264624332183	0.7672646530683429	2	3	1661
0.8987827145465612	0.9195319503137405	0.7985948772424846	0.7975715894221114	0.8800388608549388	0.9195319503137405	0.9969586374695864	0.8421052631578947	0.9894672813420413	0.7865744425521048	2	4	1663
0.8928758874064252	0.8605028386050284	0.7891024911302362	0.785769528228925	0.9318154219793564	0.8605028386050284	0.9987834549878345	0.7222222222222222	0.9939172749391728	0.8802307585202322	3	0	1662
0.9610815623608802	0.9990870359099209	0.9249744730778134	0.9221685956609343	0.9285714285714286	0.9990870359099209	0.9981740718198417	1.0	0.9995604246973693	0.951770277318523	3	1	1661
0.8313534368971469	0.8586765402042335	0.6647470679656441	0.6627305811973823	0.8079994192799071	0.8586765402042335	0.9951308581862447	0.7222222222222222	0.9916311625076082	0.7405987047886929	3	2	1661
0.8987812309567338	0.9426185162642862	0.8017035205765413	0.7975871313672922	0.863026235509457	0.9426185162642862	0.9963481436396835	0.8888888888888888	0.9979035639412998	0.8448192870301193	3	3	1661
0.9157548125633233	0.8941285695991804	0.8328297755066224	0.8315153152544663	0.9399614037595597	0.8941285695991804	0.9987834549878345	0.7894736842105263	0.9911960558330133	0.8412328161041805	3	4	1663
0.8402793349777364	0.8589821573398215	0.6815354393617994	0.6805689025562176	0.8234774665042631	0.8589821573398215	0.995742092457421	0.7222222222222222	0.9645174371451744	0.7662531975038224	4	0	1662
0.9438358017177251	0.9438358017177251	0.88767160343545	0.88767160343545	0.9438358017177251	0.9438358017177251	0.9987827145465612	0.8888888888888888	0.9997971190910935	0.981856295149639	4	1	1661
0.9108522971232289	0.8882802461621695	0.8231659236103874	0.8217109735589825	0.9362841945288753	0.8882802461621695	0.9987827145465612	0.7777777777777778	0.9934570906877663	0.8423638368919494	4	2	1661
0.8935188153086737	0.9151450598498682	0.788162224375523	0.7870444565530946	0.8740859232175503	0.9151450598498682	0.996956786366403	0.8333333333333334	0.9950970447014269	0.8360525190359609	4	3	1661
0.8987827145465612	0.9195319503137405	0.7985948772424846	0.7975715894221114	0.8800388608549388	0.9195319503137405	0.9969586374695864	0.8421052631578947	0.9957100781149955	0.8181184642989197	4	4	1663
