group_col	group_1	group_2	cosine_similarity_reference_normalized_frequency	cosine_distance_reference_normalized_frequency	cosine_similarity_frequency	cosine_distance_frequency	cosine_similarity_db_weighted_frequency	cosine_distance_db_weighted_frequency
spectrum_group_primary_T95	expanded_neutral_like_T95	unlabeled_out_of_neutral_domain_T95	0.8954572401162717	0.1045427598837283	0.9183159022736939	0.08168409772630614	0.5854822998544847	0.41451770014551526
spectrum_group_strict_T95	strict_expanded_neutral_like_T95	unlabeled_out_of_neutral_domain_T95	0.8951931307991707	0.10480686920082927	0.9185944945633742	0.08140550543662584	0.5342710250072985	0.4657289749927015
spectrum_group_posthoc	article_pathogenic_posthoc	disease_suspected_posthoc	0.9592823499202482	0.04071765007975181	0.9458356999019147	0.05416430009808526	0.8410540424642807	0.15894595753571927
spectrum_group_posthoc	article_pathogenic_posthoc	known_neutral_reference	0.5845987711859828	0.4154012288140172	0.5915273031560523	0.4084726968439477	0.8297762498644222	0.17022375013557778
spectrum_group_posthoc	article_pathogenic_posthoc	unlabeled_neutral_like_T95	0.30709754863911987	0.6929024513608801	0.3464963998840601	0.6535036001159399	0.6073954857885506	0.3926045142114494
spectrum_group_posthoc	article_pathogenic_posthoc	unlabeled_out_of_neutral_domain_T95	0.44976926191131616	0.5502307380886838	0.4555639210588519	0.5444360789411481	0.9090115700598417	0.09098842994015832
spectrum_group_posthoc	disease_suspected_posthoc	known_neutral_reference	0.702535102029618	0.297464897970382	0.7296252104761441	0.27037478952385585	0.9771175092309672	0.022882490769032815
spectrum_group_posthoc	disease_suspected_posthoc	unlabeled_neutral_like_T95	0.4372416904929708	0.5627583095070292	0.49137228699246505	0.508627713007535	0.6829170013766116	0.3170829986233884
spectrum_group_posthoc	disease_suspected_posthoc	unlabeled_out_of_neutral_domain_T95	0.5652251161242005	0.43477488387579954	0.571179750685879	0.428820249314121	0.5587836222728597	0.4412163777271403
spectrum_group_posthoc	known_neutral_reference	unlabeled_neutral_like_T95	0.8315567680822175	0.16844323191778254	0.8571311345749453	0.14286886542505473	0.7878964949758593	0.21210350502414066
spectrum_group_posthoc	known_neutral_reference	unlabeled_out_of_neutral_domain_T95	0.7655707538046221	0.23442924619537786	0.8035640651315124	0.19643593486848765	0.5836778269690994	0.4163221730309006
spectrum_group_posthoc	unlabeled_neutral_like_T95	unlabeled_out_of_neutral_domain_T95	0.918585290466345	0.08141470953365504	0.9393496638439359	0.06065033615606408	0.5501814786951276	0.44981852130487243
