feature	mlc_score	rarity_soft	hom_rarity_soft	het_rarity_soft	no_homoplasmic_signal	codon_pos1_any	codon_pos2_any	codon_pos3_any	phyloP100way
mlc_score	1.0	0.4252474419716002	0.45956088708125553	0.30732851548459494	0.45427198677413205	0.21408630140825166	0.25829889355490393	-0.3660951435994587	0.5403675657753636
rarity_soft	0.4252474419716002	1.0	0.9080063866475176	0.8380126658131002	0.8936265929686434	0.06997141332986014	0.17294469802133047	-0.19564599849574266	0.32125716746534666
hom_rarity_soft	0.45956088708125553	0.9080063866475176	1.0	0.6710406649214292	0.9882665383381168	0.0879826942122216	0.19430142444977827	-0.2252438838086571	0.36524802564772485
het_rarity_soft	0.30732851548459494	0.8380126658131002	0.6710406649214292	1.0	0.6305718691808683	0.04155416100356801	0.11192938315269137	-0.13185286106641556	0.20706908082731726
no_homoplasmic_signal	0.45427198677413205	0.8936265929686434	0.9882665383381168	0.6305718691808683	1.0	0.08462274590497308	0.19211144577424702	-0.22127281813392966	0.36338220106042046
codon_pos1_any	0.21408630140825166	0.06997141332986014	0.0879826942122216	0.04155416100356801	0.08462274590497308	1.0	-0.447682277463491	-0.4469233310242935	0.16353579230431117
codon_pos2_any	0.25829889355490393	0.17294469802133047	0.19430142444977827	0.11192938315269137	0.19211144577424702	-0.447682277463491	1.0	-0.4467339489863462	0.3933623994944456
codon_pos3_any	-0.3660951435994587	-0.19564599849574266	-0.2252438838086571	-0.13185286106641556	-0.22127281813392966	-0.4469233310242935	-0.4467339489863462	1.0	-0.48974090419090716
phyloP100way	0.5403675657753636	0.32125716746534666	0.36524802564772485	0.20706908082731726	0.36338220106042046	0.16353579230431117	0.3933623994944456	-0.48974090419090716	1.0
