feature	repeat	scope	n	mean_absolute_score_change	mean_signed_score_change	score_spearman	t95_flip_fraction	above_t95_jaccard
mlc_score	0	all_variants	49704	0.0320857540366875	0.00982502783837446	0.9002109458703212	0.0903951392242073	0.8568059406571693
mlc_score	0	neutral_validation	2071	0.06117000416418377	0.053162655430400864	0.5593150853652877	0.07774022211492033	0.3481781376518219
mlc_score	0	unlabeled_or_other	41280	0.02619953226601731	0.0012229334383058723	0.8926914092306255	0.09127906976744186	0.875285473140701
mlc_score	1	all_variants	49704	0.03216428896901348	0.009788852253979734	0.9002807889581342	0.09138097537421536	0.8553088464846612
mlc_score	1	neutral_validation	2071	0.060359851874649074	0.05164182219046625	0.5789325857132315	0.07918879768227909	0.32231404958677684
mlc_score	1	unlabeled_or_other	41280	0.02648720698094573	0.0013581219558341932	0.89185056757405	0.09282945736434109	0.873334875880078
mlc_score	2	all_variants	49704	0.03198422047914638	0.00968959055940787	0.901294487611679	0.08906727828746178	0.8586255349045155
mlc_score	2	neutral_validation	2071	0.06016081032671138	0.05156896174977277	0.5626116227118491	0.08256880733944955	0.3076923076923077
mlc_score	2	unlabeled_or_other	41280	0.026256488986154507	0.001326402930978648	0.8933779067934572	0.09001937984496124	0.8768476171538411
mlc_score	3	all_variants	49704	0.03184682167018028	0.009620486373109272	0.9011926407710273	0.08936906486399485	0.8581691624892238
mlc_score	3	neutral_validation	2071	0.059174462418313756	0.05084683308000834	0.6017967092055762	0.0816030902945437	0.3157894736842105
mlc_score	3	unlabeled_or_other	41280	0.026262870095037603	0.0013528673462964037	0.8929528727566409	0.09132751937984496	0.8752275359920569
mlc_score	4	all_variants	49704	0.031845799030097384	0.009720720535159835	0.9019332647368808	0.09095847416706905	0.8559915907498248
mlc_score	4	neutral_validation	2071	0.05952478317915894	0.05158890334957283	0.6030504131647486	0.07967165620473202	0.32098765432098764
mlc_score	4	unlabeled_or_other	41280	0.02620939349704688	0.001369703198688287	0.8939684082942885	0.09241763565891473	0.8738801282687031
rarity_soft	0	all_variants	49704	0.011045294824426599	0.009155452258023727	0.9875161179337222	0.03790439401255432	0.9374086378737542
rarity_soft	0	neutral_validation	2071	0.027241695490085996	0.024067151268885967	0.897411558434625	0.03959439884113954	0.5444444444444444
rarity_soft	0	unlabeled_or_other	41280	0.007787995393460176	0.006160147153459184	0.9869820193059079	0.03733042635658915	0.9473270440251572
rarity_soft	1	all_variants	49704	0.010968147384498935	0.009015900244228025	0.9873907131831304	0.0382262996941896	0.9369210849573387
rarity_soft	1	neutral_validation	2071	0.02637201196698797	0.023204279616355725	0.9035396182527511	0.045871559633027525	0.5052083333333334
rarity_soft	1	unlabeled_or_other	41280	0.007735506726533148	0.006047410674165599	0.986847283398088	0.0375	0.9471022416621104
rarity_soft	2	all_variants	49704	0.01107487155561697	0.00910030197643265	0.9874271875316973	0.037944632222758734	0.9373255350259205
rarity_soft	2	neutral_validation	2071	0.02719884955192271	0.023765628798360063	0.8957397511506877	0.03669724770642202	0.5606936416184971
rarity_soft	2	unlabeled_or_other	41280	0.007817300776808953	0.006113750945311334	0.9869812425652043	0.03689437984496124	0.9478977797543704
rarity_soft	3	all_variants	49704	0.010955688047426066	0.0089666911177299	0.9874569461321321	0.0386085626911315	0.9362945257776449
rarity_soft	3	neutral_validation	2071	0.026771426891821853	0.023325788604985003	0.8980684201030065	0.04104297440849831	0.532967032967033
rarity_soft	3	unlabeled_or_other	41280	0.007770793044832247	0.006033470898550505	0.9869746806950164	0.03747577519379845	0.9471111111111111
rarity_soft	4	all_variants	49704	0.011075939549375264	0.009054928892084013	0.9873652694292443	0.0382262996941896	0.936900136162864
rarity_soft	4	neutral_validation	2071	0.027082231327952743	0.023648069453080386	0.8992895622284038	0.04104297440849831	0.5277777777777778
rarity_soft	4	unlabeled_or_other	41280	0.007830929756020547	0.006095534318350286	0.9869287156776922	0.03708817829457364	0.9476473806592806
hom_rarity_soft	0	all_variants	49704	0.008659559520762344	0.006679977128785512	0.9915700638382181	0.025309834218573957	0.9572617632070665
hom_rarity_soft	0	neutral_validation	2071	0.026735561455147685	0.02490622837790914	0.922737639874106	0.04152583293095123	0.5351351351351351
hom_rarity_soft	0	unlabeled_or_other	41280	0.005024940925474808	0.0030216329142000627	0.9933344666268719	0.02122093023255814	0.9693137632675938
hom_rarity_soft	1	all_variants	49704	0.008659749037421166	0.006662591993591526	0.9915645135797616	0.025772573635924674	0.956540914642421
hom_rarity_soft	1	neutral_validation	2071	0.02689437957795727	0.02485509702946672	0.9183565103753807	0.04007725736359247	0.5388888888888889
hom_rarity_soft	1	unlabeled_or_other	41280	0.005014470441144081	0.002982419492427641	0.9933304976702348	0.022141472868217053	0.9680408405888318
hom_rarity_soft	2	all_variants	49704	0.008600341772163267	0.006672484779642145	0.9916950099526339	0.024444712699179142	0.9586847116430903
hom_rarity_soft	2	neutral_validation	2071	0.026784858201305602	0.024913138561335438	0.9199362442926096	0.04007725736359247	0.5439560439560439
hom_rarity_soft	2	unlabeled_or_other	41280	0.004946209701038967	0.0030234254849232428	0.9935550229541836	0.02066375968992248	0.9701089813224936
hom_rarity_soft	3	all_variants	49704	0.0085880232342415	0.006573843788802424	0.991571607536134	0.024907452116529855	0.9579283626724665
hom_rarity_soft	3	neutral_validation	2071	0.026401131846884057	0.024477632102308085	0.9181470543643041	0.042008691453404155	0.5245901639344263
hom_rarity_soft	3	unlabeled_or_other	41280	0.00496438957489079	0.0029475417502924585	0.9933934632676361	0.020857558139534885	0.9698413254404707
hom_rarity_soft	4	all_variants	49704	0.008642772120487037	0.0066874212078381675	0.9915151911573886	0.025732335425720263	0.9566043497438333
hom_rarity_soft	4	neutral_validation	2071	0.02709771545604131	0.025172058853458582	0.9203854970810935	0.03718010622887494	0.5625
hom_rarity_soft	4	unlabeled_or_other	41280	0.004978715618040801	0.0030281862553455897	0.9933573275809533	0.021875	0.968417739227756
het_rarity_soft	0	all_variants	49704	0.009055459467571622	0.0063051112443739	0.9817261948997723	0.03518831482375664	0.9414345030806321
het_rarity_soft	0	neutral_validation	2071	0.019670496519798502	0.015676966287085876	0.8996652826276866	0.0294543698696282	0.6139240506329114
het_rarity_soft	0	unlabeled_or_other	41280	0.006999151554204879	0.0045689600767619435	0.9770785396255394	0.03614341085271318	0.9487390915962345
het_rarity_soft	1	all_variants	49704	0.00914015142568682	0.0063942329209474	0.9814109620380733	0.03653629486560438	0.9393048128342246
het_rarity_soft	1	neutral_validation	2071	0.019960118395325323	0.01602240403947371	0.9020860533075402	0.025108643167551906	0.6578947368421053
het_rarity_soft	1	unlabeled_or_other	41280	0.007061553091239151	0.004592396279046917	0.9766606432188282	0.037645348837209304	0.9467005076142132
het_rarity_soft	2	all_variants	49704	0.009131595634276306	0.0063519847336772515	0.9816709702928771	0.03555045871559633	0.9408515766218116
het_rarity_soft	2	neutral_validation	2071	0.01962873450373016	0.015536047705811193	0.904510967096681	0.02655721873491067	0.6474358974358975
het_rarity_soft	2	unlabeled_or_other	41280	0.007027937737817777	0.004531174238490537	0.9770544951971981	0.036652131782945734	0.9480407981043305
het_rarity_soft	3	all_variants	49704	0.00917224952203524	0.0063693476299623835	0.981541138169379	0.03597295992274264	0.9401926679154402
het_rarity_soft	3	neutral_validation	2071	0.019565117305065917	0.015217341328001269	0.9039232273020014	0.027522935779816515	0.6346153846153846
het_rarity_soft	3	unlabeled_or_other	41280	0.007020072729510675	0.004557833543515764	0.9769098671224679	0.03687015503875969	0.9477514589769996
het_rarity_soft	4	all_variants	49704	0.009044379047945188	0.006320016654042797	0.9818103378312726	0.035932721712538224	0.9402535710701502
het_rarity_soft	4	neutral_validation	2071	0.01982625911329485	0.015829705683007362	0.8981853516154815	0.027522935779816515	0.6392405063291139
het_rarity_soft	4	unlabeled_or_other	41280	0.006941097324426031	0.004494281768894936	0.977187941937549	0.037112403100775196	0.9474244140155805
no_homoplasmic_signal	0	all_variants	49704	0.015322673808751498	0.009833030478514294	0.9578381658156284	0.06160469982295187	0.9006328086970631
no_homoplasmic_signal	0	neutral_validation	2071	0.040226596214163135	0.039432666182222506	0.8406978571998005	0.09608884596813133	0.3388704318936877
no_homoplasmic_signal	0	unlabeled_or_other	41280	0.010294317838073703	0.0038227049437115318	0.9545003170148147	0.054190891472868215	0.9240536411475132
no_homoplasmic_signal	1	all_variants	49704	0.015342656303043522	0.009793100313475227	0.9577608309382527	0.06077981651376147	0.9018709803157279
no_homoplasmic_signal	1	neutral_validation	2071	0.041108222892340465	0.040541308132915704	0.8449658199117116	0.09126026074360212	0.3527397260273973
no_homoplasmic_signal	1	unlabeled_or_other	41280	0.010319187328719871	0.0037882558682379337	0.954260461974928	0.054093992248062016	0.9241997352252282
no_homoplasmic_signal	2	all_variants	49704	0.015277776456834917	0.009755974751582753	0.9578063971264325	0.06140350877192982	0.900941252839987
no_homoplasmic_signal	2	neutral_validation	2071	0.04076950537933789	0.040087796376775876	0.8381779199125052	0.09415741187831965	0.34782608695652173
no_homoplasmic_signal	2	unlabeled_or_other	41280	0.010295077826633954	0.0038296669730468694	0.954099027795176	0.055014534883720934	0.9229960667299607
no_homoplasmic_signal	3	all_variants	49704	0.01525693976676246	0.0096805382932086	0.9575908064229871	0.06152422340254306	0.9007948094079481
no_homoplasmic_signal	3	neutral_validation	2071	0.04024185195892866	0.03951929400575349	0.8457586294382038	0.08788025108643167	0.36363636363636365
no_homoplasmic_signal	3	unlabeled_or_other	41280	0.010224664351205648	0.003712943795454112	0.9544271929930432	0.05428779069767442	0.9239668860690778
no_homoplasmic_signal	4	all_variants	49704	0.015261803613162355	0.009735943113569671	0.9578572735086213	0.06178577176887172	0.9004183015013457
no_homoplasmic_signal	4	neutral_validation	2071	0.04007032952123459	0.039603791930346514	0.8397245792288355	0.09126026074360212	0.3527397260273973
no_homoplasmic_signal	4	unlabeled_or_other	41280	0.010221013579548799	0.0037337197136561107	0.9544050670384887	0.054796511627906976	0.9233038348082596
codon_pos1_any	0	all_variants	49704	0.008953120436946703	0.0044370985504163	0.9863069505083099	0.052490745211652985	0.9123349349820234
codon_pos1_any	0	neutral_validation	2071	0.01785927307157444	0.013912461418513324	0.8655953552822622	0.01979719942056977	0.6893939393939394
codon_pos1_any	0	unlabeled_or_other	41280	0.007146330207639809	0.002500562625085646	0.9858740648271248	0.0592781007751938	0.915945314646881
codon_pos1_any	1	all_variants	49704	0.0088589499893018	0.004318359871244909	0.9863651361237102	0.052873008208594884	0.91168761341488
codon_pos1_any	1	neutral_validation	2071	0.01840892825053034	0.014376689295142471	0.8696294202638867	0.01979719942056977	0.6940298507462687
