feature	scope	n	mean_absolute_score_change	sd_absolute_score_change	mean_signed_score_change	score_spearman	sd_score_spearman	t95_flip_fraction	sd_t95_flip_fraction	above_t95_jaccard
codon_pos1_any	all_variants	49704	0.00887438753712436	5.0868159358299195e-05	0.0043565335222233515	0.9864036609697402	7.573583776476444e-05	0.05241026879124416	0.0005606339446761954	0.9124140409815149
codon_pos1_any	neutral_validation	2071	0.01786849410516832	0.00035462030037486625	0.014000751122247138	0.8674106353292957	0.00202096919047006	0.019217769193626267	0.0018513075338175578	0.6989273738827352
codon_pos1_any	unlabeled_or_other	41280	0.007073817149486343	5.000872877596927e-05	0.002422098592465413	0.9859517072578494	9.477415263622758e-05	0.058977713178294575	0.0006990861040863446	0.9162880682750689
codon_pos2_any	all_variants	49704	0.024761375173220225	0.00011700723731733064	0.0030892105136011037	0.8291795695487938	0.0006742965133612525	0.08775953645581844	0.0004773785014366941	0.8596977689543929
codon_pos2_any	neutral_validation	2071	0.02681366749341605	0.0010269216395551505	0.02092039260439912	0.8033760572167277	0.006050605412209849	0.057749879285369385	0.006347340115945914	0.3725544957826324
codon_pos2_any	unlabeled_or_other	41280	0.02437469551956773	7.560252778219921e-05	-0.00047170959750857144	0.7400263537815774	0.0012340078248464618	0.09460755813953489	0.0006222522375891159	0.870770393211377
codon_pos3_any	all_variants	49704	0.021851160265041532	9.524649557513837e-05	0.00885282713158797	0.9305483060722797	0.00032580322701037783	0.08974328021889585	0.0012592213417790795	0.8561816518908543
codon_pos3_any	neutral_validation	2071	0.04134103849399253	0.0010133241649569287	0.03736252668152965	0.6423078253267572	0.00827689195003429	0.0294543698696282	0.0033627204918358577	0.5969162145871006
codon_pos3_any	unlabeled_or_other	41280	0.017810862376363795	6.878268568013238e-05	0.0029526742918686852	0.913396958654681	0.0004226128779271257	0.1027858527131783	0.0014537911506343959	0.8600236143364578
het_rarity_soft	all_variants	49704	0.009108767019503035	5.595458137181694e-05	0.006348138636600746	0.9816319206462749	0.00015756694317375428	0.03583615000804764	0.0005048652812924631	0.9404074263044517
het_rarity_soft	neutral_validation	2071	0.01973014516744295	0.00016062522791507038	0.01565649300867588	0.9016741763898782	0.0027149036156484197	0.02723322066634476	0.0015868350289864794	0.6386221151710825
het_rarity_soft	unlabeled_or_other	41280	0.007009962487439703	4.457074145554198e-05	0.00454892918134202	0.9769782974203165	0.00020334227419681328	0.03688468992248062	0.0005554827824760245	0.9477312540614717
hom_rarity_soft	all_variants	49704	0.008630089137015063	3.3776904727354906e-05	0.006655263779731954	0.9915832772128272	6.667601637473639e-05	0.02523338161918558	0.0005643041374138131	0.9574040203817755
hom_rarity_soft	neutral_validation	2071	0.026782729307467185	0.00025471946190808154	0.024864830984895593	0.9199125891974986	0.0018536185761340942	0.04017382906808305	0.0018825290863947787	0.5410140463828987
hom_rarity_soft	unlabeled_or_other	41280	0.00498574525211789	3.327903919396051e-05	0.003000641179437799	0.9933941556199759	9.334103262780177e-05	0.02135174418604651	0.0006387728164574697	0.9691445299694292
mlc_score	all_variants	49704	0.031985376837025	0.00014209677054245875	0.009728935512006234	0.9009824255896085	0.0007302641871270437	0.09023418638338968	0.000996962053903699	0.8569802150570789
mlc_score	neutral_validation	2071	0.06007798239260338	0.0007747903159692241	0.05176183516004421	0.5811412832321385	0.020804243398873466	0.08015451472718493	0.001931434089811683	0.32299232458722094
mlc_score	unlabeled_or_other	41280	0.02628309836504041	0.00011746623931013897	0.0013260057740206808	0.8929682329298124	0.0007896560290849799	0.09157461240310077	0.0011014164525878186	0.8749151260870761
no_homoplasmic_signal	all_variants	49704	0.015292369989710949	3.824137168145991e-05	0.00975971739007011	0.9577706947623843	0.00010698129603118849	0.06141960405601159	0.0003836898493370737	0.9009316305524143
no_homoplasmic_signal	neutral_validation	2071	0.04048330119320095	0.0004379442735833791	0.03983697132560282	0.8418649611382113	0.0033284236991650267	0.09212940608401739	0.003136722698003224	0.3511624669082735
no_homoplasmic_signal	unlabeled_or_other	41280	0.010270852184836395	4.4975013310470275e-05	0.0037774582588213116	0.9543384133632902	0.00015962393039774622	0.05447674418604651	0.0004047790421357655	0.9237040327960079
phyloP100way	all_variants	49704	0.0193529046992909	4.482380946919337e-05	0.0039109116689117675	0.9607562377453718	9.056964622940074e-05	0.0820054723965878	0.0011182856684478625	0.8671773023896886
phyloP100way	neutral_validation	2071	0.03403547306064687	0.00036603012306955595	0.0276640915113466	0.8176667988932016	0.00560725616092499	0.05311443746982134	0.004792234003205988	0.4615381256968444
phyloP100way	unlabeled_or_other	41280	0.016257160648784658	4.397522757321977e-05	-0.000982701658388869	0.9492050533372085	0.00010055792272704671	0.08830426356589147	0.0011643541653029266	0.8775424713601561
rarity_soft	all_variants	49704	0.011023988272268767	5.81488141380165e-05	0.009058654897699662	0.9874312468419852	5.8898281424045333e-05	0.038182037662964755	0.0002825284030507326	0.9369699839595045
rarity_soft	neutral_validation	2071	0.02693324304575425	0.00036367981323285535	0.023602183548333426	0.8988097820338948	0.0029381659271652265	0.04084983099951714	0.0033208592687685957	0.5342182460282171
rarity_soft	unlabeled_or_other	41280	0.007788505139531015	3.792046522161152e-05	0.006090062797967382	0.9869427883283818	5.778008347314018e-05	0.037257751937984494	0.00026090914763248824	0.9474171114424059
