feature	permutation_mean_absolute_score_change	permutation_score_spearman	permutation_t95_flip_fraction	permutation_above_t95_jaccard	lofo_mean_absolute_score_change	sd_absolute_score_change	lofo_score_spearman	sd_score_spearman	lofo_t95_flip_fraction_all	sd_t95_flip_fraction_all	t95_flip_fraction_neutral_validation	t95_flip_fraction_unlabeled	lofo_above_t95_jaccard	permutation_influence_rank	lofo_influence_rank	mean_full_model_seed_t95_flip_fraction
mlc_score	0.031985376837025	0.9009824255896085	0.09023418638338968	0.8569802150570789	0.020641650479815084	0.0011791500422179502	0.9602451919599123	0.0016726142458170492	0.06510542411073555	0.011676571187584786	0.028971511347175277	0.07228682170542636	0.894202426606744	1	5	0.01883148237566393
codon_pos3_any	0.021851160265041532	0.9305483060722797	0.08974328021889585	0.8561816518908543	0.012498900209218474	0.0011963368878204136	0.9864624791161779	0.0014173210397090776	0.041371586458500996	0.003952025949897381	0.012232415902140673	0.04765826873385013	0.9312135676838041	2	6	0.01883148237566393
codon_pos2_any	0.024761375173220225	0.8291795695487938	0.08775953645581844	0.8596977689543929	0.021495457379833303	0.0030260703037766215	0.905612387374978	0.005874871166356093	0.08752481356295938	0.017191140567230895	0.039111540318686626	0.09678617571059432	0.8645390548762761	3	2	0.01883148237566393
phyloP100way	0.0193529046992909	0.9607562377453718	0.0820054723965878	0.8671773023896886	0.01507751161962124	0.0016136583358737377	0.9747222151959004	0.0024294040649761005	0.13904313536133914	0.006838098774332653	0.016256236922581685	0.16363856589147285	0.7590424153141345	4	1	0.01883148237566393
no_homoplasmic_signal	0.015292369989710949	0.9577706947623843	0.06141960405601159	0.9009316305524143	0.012844531437628265	0.002367764111220854	0.9839659212131803	0.0018581592258892264	0.08676699393744298	0.023897587316010563	0.01867052953484629	0.10052487080103358	0.8506206806722276	5	3	0.01883148237566393
codon_pos1_any	0.00887438753712436	0.9864036609697402	0.05241026879124416	0.9124140409815149	0.012905140978765347	0.001880881052037393	0.9869687751115076	0.004153791616710921	0.07103385374751865	0.015911278359159724	0.020923869306293256	0.08117732558139534	0.8804523622336348	6	4	0.01883148237566393
rarity_soft	0.011023988272268767	0.9874312468419852	0.038182037662964755	0.9369699839595045	0.009453401447375316	0.0014628041379235977	0.9949268330640373	0.000943051856784631	0.02094398841139546	0.0036800367658530032	0.011105746016417188	0.021939599483204134	0.964206717556381	7	9	0.01883148237566393
het_rarity_soft	0.009108767019503035	0.9816319206462749	0.03583615000804764	0.9404074263044517	0.014291433982403762	0.0029622614408700326	0.9936511674790274	0.0008399564087770634	0.029085519609421105	0.009321125881226362	0.01158860453887011	0.03189599483204134	0.9510903096240372	8	7	0.01883148237566393
hom_rarity_soft	0.008630089137015063	0.9915832772128272	0.02523338161918558	0.9574040203817755	0.009342814297638348	0.0029694368346947332	0.9934345663698733	0.0014398546180665146	0.024377649015505123	0.0026049644638639464	0.010944793175599548	0.026057816537467703	0.9584344984286642	9	8	0.01883148237566393
