analysis_group	feature	n	mean	median	q25	q75	min	max
neutral_reference	mlc_score	8284	0.12231800096571704	0.0	0.0	0.1541175	0.0	1.0
neutral_reference	pop_af_max	8284	0.0033048428746834378	8.86006e-05	0.0	0.0006531179	0.0	0.990695
neutral_reference	pop_af_hom_max	8284	0.0033006657087348863	8.85991e-05	0.0	0.0006531179	0.0	0.990695
neutral_reference	rarity_soft_raw	8284	4.22293757488926	4.047689082125635	3.1843439661946533	6.0	0.0040595904963305505	6.0
neutral_reference	no_homoplasmic_component	8284	0.2981651376146789	0.0	0.0	1.0	0.0	1.0
neutral_reference	mlc_percentile	8284	0.21484941335565066	0.08272976018026718	0.08272976018026718	0.2924236479961372	0.08272976018026718	0.9838745372605826
neutral_reference	rarity_percentile	8284	0.24519867295703943	0.11050418477386126	0.043366731047802996	0.6458836310960888	6.035731530661516e-05	0.6458836310960888
neutral_reference	directional_score_v4	8284	0.2250850514888798	0.17362259576694028	0.08103573153066151	0.26607000945597936	0.062067439240302585	0.9170826291646548
unlabeled_or_other	mlc_score	41280	0.49095230741279067	0.49861	0.21281	0.76516	0.0	1.0
unlabeled_or_other	pop_af_max	41280	0.0002027598433194089	0.0	0.0	0.0	0.0	0.993814
unlabeled_or_other	pop_af_hom_max	41280	0.00019325748567391472	0.0	0.0	0.0	0.0	0.993814
unlabeled_or_other	rarity_soft_raw	41280	5.712927120715601	6.0	6.0	6.0	0.0026944525813633424	6.0
unlabeled_or_other	no_homoplasmic_component	41280	0.8597625968992249	1.0	1.0	1.0	0.0	1.0
unlabeled_or_other	mlc_percentile	41280	0.5569777218731792	0.5671676323837116	0.3396104941252213	0.7871599871237728	0.08272976018026718	0.9838745372605826
unlabeled_or_other	rarity_percentile	41280	0.5516840324566393	0.6458836310960888	0.6458836310960888	0.6458836310960888	2.0119105102205054e-05	0.6458836310960888
unlabeled_or_other	directional_score_v4	41280	0.5710582277411735	0.5862050840978594	0.40725947609850316	0.7584202227184935	0.06209962980846612	0.9170826291646548
article_pathogenic_posthoc	mlc_score	84	0.5487086904761904	0.535095	0.40008	0.7733875	0.0182	0.94227
article_pathogenic_posthoc	pop_af_max	84	3.291528015238095e-05	5.1024836e-06	0.0	1.83930835e-05	0.0	0.001255211
article_pathogenic_posthoc	pop_af_hom_max	84	1.971211710952381e-05	0.0	0.0	0.0	0.0	0.001255211
article_pathogenic_posthoc	rarity_soft_raw	84	5.280029998681554	5.214493379045403	4.713102865174651	6.0	2.900937408019683	6.0
article_pathogenic_posthoc	no_homoplasmic_component	84	0.8690476190476191	1.0	1.0	1.0	0.0	1.0
article_pathogenic_posthoc	mlc_percentile	84	0.6099555798900922	0.5976380170610012	0.48935447851279573	0.7937565387091582	0.1807098020280058	0.9252575245453082
article_pathogenic_posthoc	rarity_percentile	84	0.40254449196385456	0.2666988572348302	0.1862199219378722	0.6458836310960888	0.030007645259938837	0.6458836310960888
article_pathogenic_posthoc	directional_score_v4	84	0.5814279642627211	0.6041412662964752	0.467106143368743	0.7195161606711733	0.18275440608401736	0.8676122646064703
disease_suspected_posthoc	mlc_score	56	0.4434335714285714	0.36698	0.215865	0.7004375	0.01593	0.97194
disease_suspected_posthoc	pop_af_max	56	0.00013631912203571428	3.55816425e-05	5.1024836e-06	0.000187516265	0.0	0.00106355
disease_suspected_posthoc	pop_af_hom_max	56	0.00013043537289285714	2.8063658999999998e-05	0.0	0.000187516265	0.0	0.00106355
disease_suspected_posthoc	rarity_soft_raw	56	4.548050633332563	4.436739788727355	3.7260307974987956	5.214493379045403	2.972833935715432	6.0
disease_suspected_posthoc	no_homoplasmic_component	56	0.30357142857142855	0.0	0.0	1.0	0.0	1.0
disease_suspected_posthoc	mlc_percentile	56	0.5251934308247683	0.4630613230323515	0.34179090214067276	0.732581884757766	0.17895943988411395	0.9472879446322228
disease_suspected_posthoc	rarity_percentile	56	0.24899278730082086	0.14975655882826333	0.0793422058586834	0.2666988572348302	0.03287461773700306	0.6458836310960888
disease_suspected_posthoc	directional_score_v4	56	0.4588722020073119	0.417100484870433	0.28822743139385165	0.6223129677691936	0.1703575164976662	0.8896426846933849
