analysis_group	feature	n	mean	median	q25	q75	min	max
article_pathogenic_posthoc	not_observed_in_gnomad	84	0.25	0.0	0.0	0.25	0.0	1.0
article_pathogenic_posthoc	not_observed_in_helix	84	0.47619047619047616	0.0	0.0	1.0	0.0	1.0
article_pathogenic_posthoc	not_observed_in_any_population_db	84	0.21428571428571427	0.0	0.0	0.0	0.0	1.0
article_pathogenic_posthoc	not_observed_in_both_population_dbs	84	0.5119047619047619	1.0	0.0	1.0	0.0	1.0
article_pathogenic_posthoc	no_homoplasmic_population_signal	84	0.8690476190476191	1.0	1.0	1.0	0.0	1.0
article_pathogenic_posthoc	low_population_heteroplasmy_or_arf	84	5.830804082216283	0.9850241789773815	0.5037645858272994	12.0	0.0	12.0
article_pathogenic_posthoc	directional_mlc_only_score	84	1.9220277458392678	1.860661746388046	1.252058926278592	2.9348052675592653	-0.4693294005250844	3.69607153995222
article_pathogenic_posthoc	directional_population_only_score	84	0.5287783916446512	0.4284380437741041	-0.08430769897292625	1.0364082203435738	-0.8724084283617289	1.3502095654927708
article_pathogenic_posthoc	directional_combined_score	84	0.6216616819242923	0.5107166638320791	0.12682574846681124	1.1930026166134526	-0.6032373077359137	1.4908475660366634
disease_suspected_posthoc	mlc_score	56	0.4434335714285714	0.36698	0.215865	0.7004375	0.01593	0.97194
disease_suspected_posthoc	rarity_pop_af_max	56	5.952924430489743	4.448777156287708	3.7283550409095563	5.292218297370366	2.9732420876625865	12.0
disease_suspected_posthoc	rarity_pop_af_hom_max	56	6.5178967834842405	4.553657750869142	3.7283550409095563	12.0	2.9732420876625865	12.0
disease_suspected_posthoc	rarity_pop_af_het_max	56	7.1854685804179335	4.751525229242549	4.364900872558043	12.0	3.906336714684599	12.0
disease_suspected_posthoc	rarity_gnomad_combined_af	56	7.1009953783154245	4.4504836049741865	3.8483599844205996	12.0	2.9660635164305322	12.0
disease_suspected_posthoc	rarity_gnomad_hom_af	56	7.836273945124553	4.751517877415897	3.956553807949398	12.0	2.9732420876625865	12.0
disease_suspected_posthoc	rarity_gnomad_het_af	56	8.36512401926566	12.0	4.450497083963931	12.0	3.906336714684599	12.0
disease_suspected_posthoc	rarity_helix_hom_af	56	6.6114436451195076	4.641703369757691	3.907574962544876	12.0	3.1338558947633706	12.0
disease_suspected_posthoc	rarity_helix_het_af	56	7.5240071895159275	5.141703325072671	4.44712033274308	12.0	3.9120071599238084	12.0
disease_suspected_posthoc	not_observed_in_gnomad	56	0.21428571428571427	0.0	0.0	0.0	0.0	1.0
disease_suspected_posthoc	not_observed_in_helix	56	0.23214285714285715	0.0	0.0	0.0	0.0	1.0
disease_suspected_posthoc	not_observed_in_any_population_db	56	0.10714285714285714	0.0	0.0	0.0	0.0	1.0
disease_suspected_posthoc	not_observed_in_both_population_dbs	56	0.3392857142857143	0.0	0.0	1.0	0.0	1.0
disease_suspected_posthoc	no_homoplasmic_population_signal	56	0.30357142857142855	0.0	0.0	1.0	0.0	1.0
disease_suspected_posthoc	low_population_heteroplasmy_or_arf	56	3.732137414481175	0.0023979021132400913	0.0	12.0	0.0	12.0
disease_suspected_posthoc	directional_mlc_only_score	56	1.4474824409491487	1.1028551093277128	0.42167883142644136	2.605970873403173	-0.479561807306912	3.8298140550257123
disease_suspected_posthoc	directional_population_only_score	56	-0.05923877923050819	-0.44324071941164417	-0.7256502346965026	0.5108227691828758	-0.8160980830187048	1.3502095654927708
disease_suspected_posthoc	directional_combined_score	56	0.04120930211480222	-0.26402988320033466	-0.5884033631639201	0.5664470039086158	-0.7801663727562186	1.4925364390502867
