feature	importance_mean	importance_std	count
phyloP100way	0.2202290413839684	0.015682224096972876	5
hom_rarity_soft	0.19665041149044696	0.019004683013833474	5
mlc_score	0.1483081827968633	0.013235490352075083	5
cons_missense	0.07983364082703945	0.04716885451854474	5
cons_noncoding_rna	0.05571909677568978	0.02021996959972438	5
codon_pos2_any	0.033068597371888483	0.03260165232577073	5
