class	precision_mean	precision_std	recall_mean	recall_std	f1_mean	f1_std	support
benign	0.9896742627253239	0.00034835054785576535	0.979773640014604	0.000900078475701615	0.9846987897027073	0.0003626731767457387	8217
pathogenic	0.668696771305467	0.01271606450538021	0.8241758241758241	0.025771515163864986	0.7381114552905658	0.012047519457210326	91
vus_high	0.20047391531863581	0.03977558875905045	0.241025641025641	0.05317036244443004	0.21858677270441979	0.04466417105802778	39
vus_low	0.11674002189684174	0.013457053749001066	0.1974025974025974	0.02815517323205039	0.1465179986635684	0.017813496937369406	77
