scheme	n_classes	n_labelled	native_macro_f1	native_balanced_accuracy	native_quadratic_kappa	weakest_class	weakest_class_recall	weakest_class_baseline_recall	weakest_class_ovr_mcc	viability_threshold	all_classes_above_chance	shared_n	shared_roc_auc	shared_average_precision	shared_mcc	shared_pathogenic_recall	shared_pathogenic_precision	shared_mcc_relative_drop
2class	2	8308	0.8966930411848245	0.9053155679661704	0.7933871641193248	benign	0.9974443227455275	0.99162710488943	0.7935748694743149	0.1	True	8308	0.9931514268863666	0.8175559878783184	0.7935748694743149	0.8131868131868132	0.7789473684210526	0.019155141208888324
3class	3	8424	0.6435530850533138	0.7498188158761486	0.5750514243225404	vus	0.4827586206896552	0.013768115942028985	0.23306504213225795	0.1	True	8308	0.9888364647400794	0.795729119259543	0.8066256860107848	0.8131868131868132	0.8043478260869565	0.003024556943660618
4class	4	8424	0.5167757300395466	0.6786897841114709	0.6174122196473633	vus_high	0.28205128205128205	0.0	0.17587737805542586	0.1	True	8308	0.9923450043931972	0.7722847757832043	0.8090727726833309	0.8461538461538461	0.7777777777777778	0.0
