macro_f1	balanced_accuracy	mcc	quadratic_kappa	macro_precision	macro_recall	recall_class0	recall_class1	recall_class2	recall_class3	roc_auc	average_precision	repeat	fold	n_test
0.5131050527209681	0.5439564735916683	0.41194862160627405	0.7451586388295248	0.49826615751368536	0.5439564735916683	0.9744370054777846	0.1875	0.125	0.8888888888888888	0.9654856928944738	0.5172176089646685	0	0	1685
0.5509193851941607	0.5992443662379794	0.46103072598385547	0.6895683070039667	0.5176625556373559	0.5992443662379794	0.9793187347931873	0.1875	0.2857142857142857	0.9444444444444444	0.9728333923160701	0.5214395068302349	0	1	1685
0.5626917669222404	0.6014497161394972	0.4714162729172151	0.651504073876473	0.5325437006893555	0.6014497161394972	0.9835766423357665	0.2	0.5	0.7222222222222222	0.9779677436639415	0.5200931376489114	0	2	1685
0.5300243390372146	0.596063265030094	0.49341643753349074	0.7374688505088249	0.4877194100480079	0.596063265030094	0.9786975045648204	0.26666666666666666	0.25	0.8888888888888888	0.9797684472807545	0.55084343576622	0	3	1684
0.5078025687169682	0.5239574323819286	0.37944229516523303	0.6640961074388836	0.4991251676271248	0.5239574323819286	0.9756542909312234	0.13333333333333333	0.25	0.7368421052631579	0.961240164200705	0.4501136275465757	0	4	1685
0.5451650190872939	0.5831559205190592	0.5270645589931716	0.7545109364826622	0.5153383120761121	0.5831559205190592	0.9854014598540146	0.3333333333333333	0.125	0.8888888888888888	0.977885707305642	0.5472830481362496	1	0	1685
0.520240520393099	0.5318935128829377	0.4213228882873442	0.7080483733509886	0.5146682672692464	0.5318935128829377	0.9817407181984176	0.1875	0.125	0.8333333333333334	0.9742905833483808	0.5379112673618255	1	1	1685
0.581548094592507	0.6552197453844594	0.4600105060089855	0.6442723714447256	0.5337494030228116	0.6552197453844594	0.9750456482045039	0.3125	0.5	0.8333333333333334	0.9680674817085687	0.504103616756232	1	2	1685
0.4368703897691065	0.46967761557177623	0.3739769966038862	0.6700950976403581	0.41318063228974833	0.46967761557177623	0.9787104622871047	0.06666666666666667	0.0	0.8333333333333334	0.9725718518678638	0.50705816579163	1	3	1685
0.5468962111939468	0.595981203770229	0.46726887706677017	0.6884912328527061	0.511025641025641	0.595981203770229	0.9799147900182593	0.13333333333333333	0.42857142857142855	0.8421052631578947	0.9760619380898335	0.5203641830950786	1	4	1684
0.4507252472723564	0.5034671532846715	0.4528555514601927	0.7282014517429878	0.4168888888888889	0.5034671532846715	0.9805352798053528	0.2	0.0	0.8333333333333334	0.9722100929296204	0.5013947085743693	2	0	1685
0.550379639853324	0.5933283881111787	0.43313598519107166	0.6698259147724929	0.5198443797581729	0.5933283881111787	0.9774802191113816	0.1875	0.375	0.8333333333333334	0.9756384720632254	0.5194151240897151	2	1	1685
0.5581596318551472	0.6245093992584869	0.46493722971204515	0.7061632961141042	0.523991897786072	0.6245093992584869	0.9732360097323601	0.4375	0.14285714285714285	0.9444444444444444	0.9710919269726302	0.5252396477965946	2	2	1685
0.47785351662140835	0.5206731419490093	0.4231813305193059	0.6322381960586902	0.4477743037925823	0.5206731419490093	0.9799147900182593	0.2	0.125	0.7777777777777778	0.9658251320714177	0.48903395297308877	2	3	1684
0.49627525274425394	0.508756380070688	0.4798706712277394	0.7259774996264922	0.4850061618098531	0.508756380070688	0.9872185027388922	0.13333333333333333	0.125	0.7894736842105263	0.9746283930987778	0.5383953917390312	2	4	1685
0.5103294016866575	0.5072836359640225	0.39430967216278545	0.7049095197993491	0.5320618511090136	0.5072836359640225	0.9805234327449787	0.1875	0.25	0.6111111111111112	0.9650642844558415	0.5194336727736483	3	0	1685
0.5511964895807963	0.591707942301008	0.437925340957081	0.6916718200505143	0.5229193872425917	0.591707942301008	0.9799270072992701	0.125	0.42857142857142855	0.8333333333333334	0.973234226639955	0.5155531911156388	3	1	1685
0.4684467918622849	0.5057228304947283	0.3810616718335965	0.631056343407083	0.4441464684633214	0.5057228304947283	0.975669099756691	0.2	0.125	0.7222222222222222	0.9731596333334493	0.4964825930870349	3	2	1685
0.5578375694379791	0.6254484513423954	0.5238987977244878	0.7463037964039968	0.5124406958355298	0.6254484513423954	0.9823493609251369	0.2	0.375	0.9444444444444444	0.9804346002348219	0.5263365624484083	3	3	1684
0.5358697186094646	0.5718181065872228	0.4577017358081671	0.6599437444028203	0.5086029001673174	0.5718181065872228	0.9811320754716981	0.26666666666666666	0.25	0.7894736842105263	0.9684546336867392	0.5242996820971622	3	4	1685
0.5691702094144324	0.6065092399490211	0.4762307053180613	0.6933513538966287	0.5421683413426532	0.6065092399490211	0.9835766423357665	0.125	0.42857142857142855	0.8888888888888888	0.9768719773220775	0.5626551651190492	4	0	1685
0.46747208692852993	0.49229014598540144	0.37407519455967003	0.610158320218447	0.4525222691743046	0.49229014598540144	0.9774939172749392	0.2	0.125	0.6666666666666666	0.9654494153634104	0.48200834173786233	4	1	1685
0.4986385061400371	0.5575644992222899	0.40834301119988137	0.5706410481732962	0.4654549855566492	0.5575644992222899	0.9774802191113816	0.26666666666666666	0.375	0.6111111111111112	0.972437016463735	0.4812210684462229	4	2	1684
0.520797336628367	0.5586959829580036	0.4925044708787906	0.7628599068606878	0.4920901541044552	0.5586959829580036	0.9847839318320146	0.125	0.125	1.0	0.9658068970784555	0.5485035852645732	4	3	1685
0.5297375183926986	0.5611396301160693	0.46553785592298574	0.7711284194296413	0.5085854434440791	0.5611396301160693	0.9805234327449787	0.06666666666666667	0.25	0.9473684210526315	0.9733619276712111	0.4870222912093305	4	4	1685
