class	support	recall	precision	macro_f1	quadratic_kappa	scheme
benign	8217	0.9492515516611902	0.9894710135735126	0.41116564361304897	0.3855990214462841	4class
vus_low	77	0.3246753246753247	0.0946969696969697	0.41116564361304897	0.3855990214462841	4class
vus_high	39	0.23076923076923078	0.0967741935483871	0.41116564361304897	0.3855990214462841	4class
pathogenic	91	0.5934065934065934	0.29347826086956524	0.41116564361304897	0.3855990214462841	4class
