macro_f1	balanced_accuracy	mcc	quadratic_kappa	macro_precision	macro_recall	recall_class0	recall_class1	recall_class2	recall_class3	roc_auc	average_precision	fold	best_params	model
0.5340275671249632	0.6420715831473591	0.3552938755489612	0.6635568588638696	0.5060890517459182	0.6420715831473591	0.9293974437005478	0.375	0.375	0.8888888888888888	0.9657761678561518	0.5311572491018817	0	"{""model__n_estimators"": 1000, ""model__min_samples_leaf"": 4, ""model__max_features"": 0.5, ""model__max_depth"": 8}"	random_forest
0.5175977279619945	0.6630206522998494	0.3948755715840642	0.6167774343716457	0.4764086527617456	0.6630206522998494	0.9397810218978102	0.625	0.14285714285714285	0.9444444444444444	0.9708780774564231	0.5140385435978223	1	"{""model__n_estimators"": 1000, ""model__min_samples_leaf"": 1, ""model__max_features"": ""sqrt"", ""model__max_depth"": 8}"	random_forest
0.5179571625306191	0.7082319545823196	0.4103574458513448	0.5530737341144283	0.46491009426332375	0.7082319545823196	0.9440389294403893	0.6666666666666666	0.5	0.7222222222222222	0.9761610644450708	0.50871549293508	2	"{""model__n_estimators"": 300, ""model__min_samples_leaf"": 2, ""model__max_features"": ""log2"", ""model__max_depth"": 8}"	random_forest
0.48946636317653014	0.5040339487387571	0.54554056436433	0.8059320935190654	0.48449843471029913	0.5040339487387571	0.9939135727328059	0.13333333333333333	0.0	0.8888888888888888	0.9814408413865183	0.5925363823444141	3	"{""model__n_estimators"": 300, ""model__min_samples_leaf"": 2, ""model__max_features"": 0.5, ""model__max_depth"": 12}"	random_forest
0.48198851223894845	0.5083089742768363	0.36473874295305164	0.6475769218851672	0.4711659663865546	0.5083089742768363	0.9713937918441875	0.2	0.125	0.7368421052631579	0.9547383386334656	0.4801819412717816	4	"{""model__n_estimators"": 1000, ""model__min_samples_leaf"": 4, ""model__max_features"": null, ""model__max_depth"": 12}"	random_forest
0.48653136862598817	0.5844132515047	0.34160100700133417	0.6172941970596851	0.4677744585511575	0.5844132515047	0.9348752282410225	0.375	0.25	0.7777777777777778	0.9591742030753659	0.4978280837510648	0	"{""model__n_estimators"": 1000, ""model__min_samples_leaf"": 2, ""model__max_features"": null, ""model__max_depth"": 10}"	extra_trees
0.5465600680832245	0.6752947225118758	0.41453358955760844	0.6460843207007785	0.494431868340234	0.6752947225118758	0.9531630170316302	0.375	0.42857142857142855	0.9444444444444444	0.9701506131798197	0.5214261633075093	1	"{""model__n_estimators"": 600, ""model__min_samples_leaf"": 2, ""model__max_features"": ""log2"", ""model__max_depth"": null}"	extra_trees
0.500006685792084	0.6900648824006488	0.3818315334147895	0.5289946705302335	0.45923862878878174	0.6900648824006488	0.9324817518248175	0.8	0.25	0.7777777777777778	0.9705457366951334	0.5214551148175611	2	"{""model__n_estimators"": 1000, ""model__min_samples_leaf"": 1, ""model__max_features"": ""sqrt"", ""model__max_depth"": 10}"	extra_trees
0.5100504390293559	0.6684410292824778	0.3862013266452159	0.6130602028988481	0.46894366196055626	0.6684410292824778	0.9348752282410225	0.6	0.25	0.8888888888888888	0.9709259673580598	0.5200460378494745	3	"{""model__n_estimators"": 1000, ""model__min_samples_leaf"": 1, ""model__max_features"": 0.8, ""model__max_depth"": 10}"	extra_trees
0.4612987239769668	0.47863657355500744	0.3349125375862005	0.6258108502970683	0.45332576621977116	0.47863657355500744	0.9720024345709068	0.13333333333333333	0.125	0.6842105263157895	0.9629776131714749	0.4295645274364234	4	"{""model__n_estimators"": 600, ""model__min_samples_leaf"": 2, ""model__max_features"": 0.5, ""model__max_depth"": null}"	extra_trees
0.5049810759664775	0.518094441063096	0.4793257811490658	0.7189926553434851	0.498583862945565	0.518094441063096	0.9890444309190505	0.125	0.125	0.8333333333333334	0.9106756813068969	0.48857496504491993	0	"{""model__l2_regularization"": 0.0013603541233703522, ""model__learning_rate"": 0.015687897983797647, ""model__max_iter"": 300, ""model__max_leaf_nodes"": 63, ""model__min_samples_leaf"": 5}"	hist_gradient_boosting
