spectrum_group_primary_preview	n_variants	threshold_name	fraction_total
unlabeled_out_of_neutral_domain_T90	31552	T90	0.6347980041847738
expanded_neutral_like_T90	18012	T90	0.3623853211009174
exclude_posthoc_or_other	140	T90	0.0028166747143087076
unlabeled_out_of_neutral_domain_T95	27649	T95	0.5562731369708676
expanded_neutral_like_T95	21915	T95	0.44091018831482376
exclude_posthoc_or_other	140	T95	0.0028166747143087076
expanded_neutral_like_T99	31297	T99	0.6296676323837116
unlabeled_out_of_neutral_domain_T99	18267	T99	0.3675156929019797
exclude_posthoc_or_other	140	T99	0.0028166747143087076
