functional_class	spectrum_group_primary_T95	n_variants	n_observed_variants	n_channels_with_candidates	raw_carrier_count_sum	total_class_specific_weight	total_class_specific_raw_weight	n_observed_channels	top_1_variant_weight_share	top_5_variant_weight_share	top_10_variant_weight_share	top_10_category_weight_share	observed_variant_fraction	pseudocount_weight_fraction
control_region	expanded_neutral_like_T95	3016	1290	192	1698560.0	0.3568361842925669	0.35644256382858386	175	0.0889287765690724	0.27125524758611613	0.4254549652424468	0.5221533562984937	0.4277188328912467	0.0011030845001422929
control_region	unlabeled_out_of_neutral_domain_T95	350	110	146	169046.0	0.06630462655169227	0.06624188924680463	73	0.968146408723894	0.9968168388567237	0.9985587357088536	0.9986663572934957	0.3142857142857143	0.0009461979977931634
protein_coding	expanded_neutral_like_T95	14221	7970	192	2939612.0	0.07299057451010546	0.07285308857695245	187	0.0732265859075642	0.20575752191070984	0.28077817363725094	0.4714112512874775	0.5604387877083187	0.001883612152333014
protein_coding	unlabeled_out_of_neutral_domain_T95	19708	2153	192	770618.0	0.010822070943352902	0.010428563483584856	172	0.2981419111398939	0.9225466107389946	0.9497437900778587	0.9536850215206706	0.10924497665922468	0.036361567192436994
rna_coding	expanded_neutral_like_T95	4499	1591	192	588641.0	0.039883265106962884	0.03970392876738179	162	0.17566688936008001	0.42597688793150484	0.5492591173765582	0.6640058065065966	0.3536341409202045	0.004496531041280893
rna_coding	unlabeled_out_of_neutral_domain_T95	7497	1196	192	667599.0	0.02659651864572735	0.026191734750389654	165	0.5211848793595595	0.976695369610218	0.9777562681271837	0.9791679960070461	0.15953047885820995	0.015219431562811803
