macro_f1	balanced_accuracy	mcc	quadratic_kappa	macro_precision	macro_recall	recall_class0	recall_class1	roc_auc	average_precision	fold	best_params	model
0.973379889162956	0.9993917274939172	0.9481060644722462	0.9467614837593696	0.95	0.9993917274939172	0.9987834549878345	1.0	0.9995606920789402	0.9560718716936469	0	"{""model__n_estimators"": 300, ""model__min_samples_leaf"": 2, ""model__max_features"": ""log2"", ""model__max_depth"": null}"	random_forest
0.8641773403409133	0.914232095759789	0.7340200269172653	0.7284051551142361	0.8251712056059882	0.914232095759789	0.9951308581862447	0.8333333333333334	0.9965172110637723	0.7624027556075822	1	"{""model__n_estimators"": 600, ""model__min_samples_leaf"": 4, ""model__max_features"": ""log2"", ""model__max_depth"": null}"	random_forest
0.8217045942464577	0.8040339487387571	0.6445612124133762	0.6434219471179649	0.8416223404255319	0.8040339487387571	0.996956786366403	0.6111111111111112	0.9784269966862784	0.6900201044900315	2	"{""model__n_estimators"": 300, ""model__min_samples_leaf"": 2, ""model__max_features"": ""log2"", ""model__max_depth"": 6}"	random_forest
0.8888723693698382	0.9423141949009264	0.7837815576592586	0.7777860360025568	0.8472155863460211	0.9423141949009264	0.995739500912964	0.8888888888888888	0.9976668695475756	0.8058981371416873	3	"{""model__n_estimators"": 300, ""model__min_samples_leaf"": 4, ""model__max_features"": ""sqrt"", ""model__max_depth"": 16}"	random_forest
0.9201402228198232	0.9201402228198232	0.8402804456396465	0.8402804456396465	0.9201402228198232	0.9201402228198232	0.9981751824817519	0.8421052631578947	0.9966384940453323	0.8800892253149053	4	"{""model__n_estimators"": 300, ""model__min_samples_leaf"": 2, ""model__max_features"": ""log2"", ""model__max_depth"": 12}"	random_forest
0.9493909866017052	0.9987834549878345	0.903432957203749	0.8987943003288272	0.9090909090909092	0.9987834549878345	0.9975669099756691	1.0	0.9998648283319816	0.9872494075602951	0	"{""model__n_estimators"": 1000, ""model__min_samples_leaf"": 1, ""model__max_features"": 0.5, ""model__max_depth"": 10}"	extra_trees
0.8641773403409133	0.914232095759789	0.7340200269172653	0.7284051551142361	0.8251712056059882	0.914232095759789	0.9951308581862447	0.8333333333333334	0.9970244133360384	0.823729810025449	1	"{""model__n_estimators"": 1000, ""model__min_samples_leaf"": 2, ""model__max_features"": null, ""model__max_depth"": null}"	extra_trees
0.853471344135031	0.8049469128288362	0.7165706091457402	0.7070144836642298	0.9209531366691561	0.8049469128288362	0.9987827145465612	0.6111111111111112	0.9829410969094474	0.7931052451341124	2	"{""model__n_estimators"": 600, ""model__min_samples_leaf"": 1, ""model__max_features"": 0.5, ""model__max_depth"": 16}"	extra_trees
0.88767160343545	0.88767160343545	0.7753432068709001	0.7753432068709001	0.88767160343545	0.88767160343545	0.9975654290931223	0.7777777777777778	0.9688239669980387	0.8799919836960909	3	"{""model__n_estimators"": 600, ""model__min_samples_leaf"": 1, ""model__max_features"": ""log2"", ""model__max_depth"": null}"	extra_trees
0.9108534057608462	0.8681169163785376	0.8275976426302545	0.821732294718788	0.9651496763754046	0.8681169163785376	0.9993917274939172	0.7368421052631579	0.9977589960302214	0.9011234026958321	4	"{""model__n_estimators"": 300, ""model__min_samples_leaf"": 1, ""model__max_features"": ""log2"", ""model__max_depth"": null}"	extra_trees
0.9610818405338953	0.9990875912408759	0.9249749876842625	0.9221691486372576	0.9285714285714286	0.9990875912408759	0.9981751824817519	1.0	0.9995268991619357	0.9535993442211192	0	"{""model__l2_regularization"": 0.0016326853687512546, ""model__learning_rate"": 0.1189379877518342, ""model__max_iter"": 500, ""model__max_leaf_nodes"": 31, ""model__min_samples_leaf"": 10}"	hist_gradient_boosting
0.8987812309567338	0.9426185162642862	0.8017035205765413	0.7975871313672922	0.863026235509457	0.9426185162642862	0.9963481436396835	0.8888888888888888	0.9959085683370528	0.7686551959430985	1	"{""model__l2_regularization"": 0.22195275713545368, ""model__learning_rate"": 0.23582623249582704, ""model__max_iter"": 300, ""model__max_leaf_nodes"": 63, ""model__min_samples_leaf"": 5}"	hist_gradient_boosting
0.810676291793313	0.776560492324339	0.6264181782272055	0.6214101200425468	0.8547141989764941	0.776560492324339	0.9975654290931223	0.5555555555555556	0.9707175221478325	0.6689833922152877	2	"{""model__l2_regularization"": 2.0975978584118136, ""model__learning_rate"": 0.06767927307142636, ""model__max_iter"": 300, ""model__max_leaf_nodes"": 63, ""model__min_samples_leaf"": 40}"	hist_gradient_boosting
0.866898519135842	0.8870629607087306	0.7348477281552932	0.7338055706913683	0.8487812309567337	0.8870629607087306	0.9963481436396835	0.7777777777777778	0.9492121458037466	0.7997161824212221	3	"{""model__l2_regularization"": 0.0005737305774546554, ""model__learning_rate"": 0.19619767689631457, ""model__max_iter"": 150, ""model__max_leaf_nodes"": 31, ""model__min_samples_leaf"": 40}"	hist_gradient_boosting
0.8876730834177643	0.8675086438724549	0.7765794336713728	0.7753537536726217	0.9102458723465084	0.8675086438724549	0.9981751824817519	0.7368421052631579	0.997086694839288	0.8565687136064102	4	"{""model__l2_regularization"": 0.0005303694007875724, ""model__learning_rate"": 0.020754804928698394, ""model__max_iter"": 500, ""model__max_leaf_nodes"": 63, ""model__min_samples_leaf"": 5}"	hist_gradient_boosting
