repeat	fold	method	kind	roc_auc	average_precision	recall_at_target_fpr	realised_fpr	n_pathogenic
0	0	isolation_forest	one_class	0.9364017301973506	0.2669235311851827	0.6111111111111112	0.06082725060827251	18
0	0	single: mlc_score	single_feature	0.8913557718302244	0.05759455377532996	0.3888888888888889	0.06690997566909976	18
0	0	single: phyloP100way	single_feature	0.9842862935928629	0.3548991858940065	1.0	0.04805352798053528	18
0	0	single: hom_rarity_soft	single_feature	0.8404467423628008	0.033177343129915535	0.0	0.0	18
0	0	single: cons_intergenic	single_feature	0.5462287104622872	0.011920529801324504	0.0	0.0	18
0	0	single: cons_noncoding_rna	single_feature	0.6931265206812653	0.028374346128343036	0.0	0.0	18
0	0	supervised model	supervised	0.9995606920789402	0.9560718716936469	1.0	0.05535279805352798	18
0	1	isolation_forest	one_class	0.9635490633664705	0.19765862869938236	0.7777777777777778	0.049300060864272674	18
0	1	single: mlc_score	single_feature	0.8925407452492055	0.06691607677292617	0.4444444444444444	0.051734631771150334	18
0	1	single: phyloP100way	single_feature	0.96070873064178	0.23780619521175647	0.7777777777777778	0.06695069993913573	18
0	1	single: hom_rarity_soft	single_feature	0.7856732264827212	0.027877799917595942	0.0	0.0	18
0	1	single: cons_intergenic	single_feature	0.5459525258673159	0.011920529801324504	0.0	0.0	18
0	1	single: cons_noncoding_rna	single_feature	0.7510820315141679	0.03959444567670431	0.0	0.0	18
0	1	supervised model	supervised	0.9967539054574963	0.8232615155312525	1.0	0.08277541083384053	18
0	2	isolation_forest	one_class	0.9204368702238453	0.16479808471546822	0.6111111111111112	0.04625684723067559	18
0	2	single: mlc_score	single_feature	0.9063366470548455	0.062455999663533546	0.3333333333333333	0.051734631771150334	18
0	2	single: phyloP100way	single_feature	0.9109183742476499	0.15979905022807642	0.5555555555555556	0.04625684723067559	18
0	2	single: hom_rarity_soft	single_feature	0.7540068979509027	0.02495929561992798	0.0	0.0	18
0	2	single: cons_intergenic	single_feature	0.5380401704199635	0.01171875	0.0	0.0	18
0	2	single: cons_noncoding_rna	single_feature	0.7226956110096706	0.03390305397864082	0.0	0.0	18
0	2	supervised model	supervised	0.9557550551159802	0.6614510399816517	0.8333333333333334	0.06999391357273281	18
0	3	isolation_forest	one_class	0.9489754514100224	0.35797961063597183	0.7222222222222222	0.0620815581253804	18
0	3	single: mlc_score	single_feature	0.9285521065801042	0.11769810493801104	0.5555555555555556	0.05782105903834449	18
0	3	single: phyloP100way	single_feature	0.94571245012511	0.1624577855599116	0.7777777777777778	0.0505173463177115	18
0	3	single: hom_rarity_soft	single_feature	0.8235950497058226	0.03025167068462122	0.0	0.0	18
0	3	single: cons_intergenic	single_feature	0.5477784540474742	0.011968085106382979	0.0	0.0	18
0	3	single: cons_noncoding_rna	single_feature	0.6707919118144317	0.02610835409129269	0.0	0.0	18
0	3	supervised model	supervised	0.9979711909109353	0.8612254010100848	1.0	0.060255629945222156	18
0	4	isolation_forest	one_class	0.9500576258163657	0.37179264843160664	0.6842105263157895	0.02737226277372263	19
0	4	single: mlc_score	single_feature	0.8962735305416826	0.09182921083205965	0.3157894736842105	0.04257907542579075	19
0	4	single: phyloP100way	single_feature	0.966496990651812	0.3473483180143765	0.6842105263157895	0.043795620437956206	19
0	4	single: hom_rarity_soft	single_feature	0.7965968754001793	0.030071232609771882	0.0	0.0	19
0	4	single: cons_intergenic	single_feature	0.5380170316301703	0.01235370611183355	0.0	0.0	19
0	4	single: cons_noncoding_rna	single_feature	0.7099340504546037	0.03386140832733864	0.0	0.0	19
0	4	supervised model	supervised	0.9967665514150339	0.8813889303018809	1.0	0.05535279805352798	19
1	0	isolation_forest	one_class	0.951000270343336	0.25674073592378654	0.6111111111111112	0.03467153284671533	18
1	0	single: mlc_score	single_feature	0.8886523384698567	0.0885966100930499	0.5	0.04562043795620438	18
1	0	single: phyloP100way	single_feature	0.9726953230602866	0.34312751220353416	0.8888888888888888	0.04683698296836983	18
1	0	single: hom_rarity_soft	single_feature	0.8105231143552312	0.030295135049056468	0.0	0.0	18
1	0	single: cons_intergenic	single_feature	0.538625304136253	0.011726384364820847	0.0	0.0	18
1	0	single: cons_noncoding_rna	single_feature	0.6406123276561233	0.021413217879628178	0.0	0.0	18
1	0	supervised model	supervised	0.9974655312246552	0.8425649361457811	1.0	0.06630170316301703	18
1	1	isolation_forest	one_class	0.9484344356529384	0.2352702806233253	0.7222222222222222	0.05538648813146683	18
1	1	single: mlc_score	single_feature	0.8955839588828025	0.0632831632963913	0.3888888888888889	0.04990870359099209	18
1	1	single: phyloP100way	single_feature	0.9595590721579765	0.24549503220575847	0.7777777777777778	0.03712720632988436	18
1	1	single: hom_rarity_soft	single_feature	0.7969500236694393	0.027406508878096123	0.0	0.0	18
1	1	single: cons_intergenic	single_feature	0.5432136335970785	0.01184990125082291	0.0	0.0	18
1	1	single: cons_noncoding_rna	single_feature	0.7156962196523974	0.030776915656534398	0.0	0.0	18
1	1	supervised model	supervised	0.9646141881382295	0.8200682150777918	0.9444444444444444	0.06573341448569689	18
1	2	isolation_forest	one_class	0.9326097247582336	0.25507679711968717	0.7222222222222222	0.05903834449178332	18
1	2	single: mlc_score	single_feature	0.8985595455467642	0.06290552380786867	0.3888888888888889	0.07242848447961046	18
1	2	single: phyloP100way	single_feature	0.946895922093731	0.33886467712446605	0.6111111111111112	0.041387705416920266	18
1	2	single: hom_rarity_soft	single_feature	0.7794515452762562	0.02693404779922648	0.0	0.0	18
1	2	single: cons_intergenic	single_feature	0.5450395617772368	0.011896893588896233	0.0	0.0	18
1	2	single: cons_noncoding_rna	single_feature	0.7205653614661527	0.03287473706899756	0.0	0.0	18
1	2	supervised model	supervised	0.9949279772773383	0.7699199584003507	1.0	0.057212416311625075	18
1	3	isolation_forest	one_class	0.9373097991479001	0.13234420467426614	0.5555555555555556	0.04990870359099209	18
1	3	single: mlc_score	single_feature	0.8892270237370664	0.05537145583794279	0.16666666666666666	0.04382227632379793	18
1	3	single: phyloP100way	single_feature	0.9485865963346183	0.16208537192849892	0.6666666666666666	0.04017041996348144	18
1	3	single: hom_rarity_soft	single_feature	0.825674579022114	0.030865743592402985	0.0	0.0	18
1	3	single: cons_intergenic	single_feature	0.5419963481436396	0.011818778726198293	0.0	0.0	18
1	3	single: cons_noncoding_rna	single_feature	0.7064820450395619	0.03502368579486042	0.0	0.0	18
1	3	supervised model	supervised	0.9986812740921079	0.8621140094967327	1.0	0.07242848447961046	18
1	4	isolation_forest	one_class	0.9575809962863362	0.38521296815131967	0.7894736842105263	0.035888077858880776	19
1	4	single: mlc_score	single_feature	0.9426623127160968	0.13181346325239762	0.5263157894736842	0.03710462287104623	19
