scheme	model	mean_rank	critical_difference	tied_with_best	friedman_p_value
2class	extra_trees	2.54	2.099938399096507	True	4.057198421401053e-25
2class	hist_gradient_boosting	2.9	2.099938399096507	True	4.057198421401053e-25
2class	k_nearest_neighbors	3.08	2.099938399096507	True	4.057198421401053e-25
2class	ordinal_forest	3.32	2.099938399096507	True	4.057198421401053e-25
2class	random_forest	3.42	2.099938399096507	True	4.057198421401053e-25
2class	svm_rbf	5.74	2.099938399096507	False	4.057198421401053e-25
2class	logistic_regression	7.0	2.099938399096507	False	4.057198421401053e-25
2class	prior_baseline	8.0	2.099938399096507	False	4.057198421401053e-25
3class	random_forest	1.92	2.099938399096507	True	9.881987517180586e-29
3class	ordinal_forest	2.52	2.099938399096507	True	9.881987517180586e-29
3class	extra_trees	2.8	2.099938399096507	True	9.881987517180586e-29
3class	hist_gradient_boosting	2.96	2.099938399096507	True	9.881987517180586e-29
3class	k_nearest_neighbors	5.0	2.099938399096507	False	9.881987517180586e-29
3class	logistic_regression	6.4	2.099938399096507	False	9.881987517180586e-29
3class	svm_rbf	6.4	2.099938399096507	False	9.881987517180586e-29
3class	prior_baseline	8.0	2.099938399096507	False	9.881987517180586e-29
4class	random_forest	2.0	2.099938399096507	True	6.913843702857518e-28
4class	extra_trees	2.16	2.099938399096507	True	6.913843702857518e-28
4class	hist_gradient_boosting	2.88	2.099938399096507	True	6.913843702857518e-28
4class	ordinal_forest	3.32	2.099938399096507	True	6.913843702857518e-28
4class	k_nearest_neighbors	5.4	2.099938399096507	False	6.913843702857518e-28
4class	logistic_regression	5.6	2.099938399096507	False	6.913843702857518e-28
4class	svm_rbf	6.64	2.099938399096507	False	6.913843702857518e-28
4class	prior_baseline	8.0	2.099938399096507	False	6.913843702857518e-28
