macro_f1	balanced_accuracy	mcc	quadratic_kappa	macro_precision	macro_recall	recall_class0	recall_class1	roc_auc	average_precision	repeat	fold	n_test
0.973379889162956	0.9993917274939172	0.9481060644722462	0.9467614837593696	0.95	0.9993917274939172	0.9987834549878345	1.0	0.9995606920789402	0.9560718716936469	0	0	1662
0.8572990619898935	0.8867586393453709	0.7167925489880779	0.7146181840900927	0.8321138211382113	0.8867586393453709	0.995739500912964	0.7777777777777778	0.9967539054574963	0.8232615155312525	0	1	1661
0.8422302431610942	0.8046425914654765	0.6900250124389299	0.684508433368789	0.8907320669615751	0.8046425914654765	0.9981740718198417	0.6111111111111112	0.9557550551159802	0.6614510399816517	0	2	1661
0.9091903121753868	0.942922837627646	0.8208835110329457	0.8183933898755135	0.88034262485482	0.942922837627646	0.996956786366403	0.8888888888888888	0.9979711909109353	0.8612254010100848	0	3	1661
0.9201402228198232	0.9201402228198232	0.8402804456396465	0.8402804456396465	0.9201402228198232	0.9201402228198232	0.9981751824817519	0.8421052631578947	0.9967665514150339	0.8813889303018809	0	4	1663
0.8387749445676275	0.9133211678832117	0.689487630100259	0.6776928191489362	0.7875446680458905	0.9133211678832117	0.9933090024330901	0.8333333333333334	0.9974655312246552	0.8425649361457811	1	0	1662
0.8622681666159927	0.8324203692432541	0.7276325398208531	0.724559173069482	0.8981773997569866	0.8324203692432541	0.9981740718198417	0.6666666666666666	0.9646141881382295	0.8200682150777918	1	1	1661
0.88767160343545	0.88767160343545	0.7753432068709001	0.7753432068709001	0.88767160343545	0.88767160343545	0.9975654290931223	0.7777777777777778	0.9949279772773383	0.7699199584003507	1	2	1661
0.913567398398763	0.970396294042064	0.8335430884012519	0.8271669168908775	0.869259967086054	0.970396294042064	0.9963481436396835	0.9444444444444444	0.9986812740921079	0.8621140094967327	1	3	1661
0.9438365417088821	0.920748495325906	0.8890801173418719	0.8876768768363108	0.9696769351726109	0.920748495325906	0.9993917274939172	0.8421052631578947	0.9703387117428608	0.8978185329239958	1	4	1663
0.9590031162893956	0.9716139497161395	0.9183499677807964	0.9180069067587568	0.9470640996892719	0.9716139497161395	0.9987834549878345	0.9444444444444444	0.999493106244931	0.950251765873541	2	0	1662
0.8734765386959171	0.9145364171231487	0.7508391375483657	0.7469839142091153	0.839993898718731	0.9145364171231487	0.995739500912964	0.8333333333333334	0.9648846960167714	0.6789938788281051	2	1	1661
0.9201391114815052	0.9432271589910055	0.8414767205957528	0.840283342414821	0.8993906154783669	0.9432271589910055	0.9975654290931223	0.8888888888888888	0.9987150875769257	0.9136875016776977	2	2	1661
0.8737841945288753	0.8327246906066139	0.7536318466506543	0.7476067466950311	0.9267499349466563	0.8327246906066139	0.9987827145465612	0.6666666666666666	0.9857645228917292	0.7457778624940098	2	3	1661
0.8987827145465612	0.9195319503137405	0.7985948772424846	0.7975715894221114	0.8800388608549388	0.9195319503137405	0.9969586374695864	0.8421052631578947	0.9897073889102317	0.7767908289396144	2	4	1663
0.8928758874064252	0.8605028386050284	0.7891024911302362	0.785769528228925	0.9318154219793564	0.8605028386050284	0.9987834549878345	0.7222222222222222	0.9956745066234118	0.8722038465066113	3	0	1662
0.9610815623608802	0.9990870359099209	0.9249744730778134	0.9221685956609343	0.9285714285714286	0.9990870359099209	0.9981740718198417	1.0	0.9997294921214581	0.9706743159852036	3	1	1661
0.8313534368971469	0.8586765402042335	0.6647470679656441	0.6627305811973823	0.8079994192799071	0.8586765402042335	0.9951308581862447	0.7222222222222222	0.9626191925339824	0.7157992626729337	3	2	1661
0.9091903121753868	0.942922837627646	0.8208835110329457	0.8183933898755135	0.88034262485482	0.942922837627646	0.996956786366403	0.8888888888888888	0.9980388178805707	0.8616431328866829	3	3	1661
0.9157548125633233	0.8941285695991804	0.8328297755066224	0.8315153152544663	0.9399614037595597	0.8941285695991804	0.9987834549878345	0.7894736842105263	0.9913561275451401	0.8626745603156719	3	4	1663
0.8313546423135464	0.8586780210867802	0.6647494427030105	0.6627329774281165	0.8080003482197267	0.8586780210867802	0.9951338199513382	0.7222222222222222	0.9629629629629629	0.7271936689241351	4	0	1662
0.9590028384548932	0.9716135794955028	0.9183494169683293	0.91800635150478	0.9470639143534842	0.9716135794955028	0.9987827145465612	0.9444444444444444	0.9997633056062758	0.9781525914459352	4	1	1661
0.9108522971232289	0.8882802461621695	0.8231659236103874	0.8217109735589825	0.9362841945288753	0.8882802461621695	0.9987827145465612	0.7777777777777778	0.9933725569757219	0.8427157767508646	4	2	1661
0.8935188153086737	0.9151450598498682	0.788162224375523	0.7870444565530946	0.8740859232175503	0.9151450598498682	0.996956786366403	0.8333333333333334	0.996415770609319	0.8451085270938212	4	3	1661
0.8987827145465612	0.9195319503137405	0.7985948772424846	0.7975715894221114	0.8800388608549388	0.9195319503137405	0.9969586374695864	0.8421052631578947	0.9967665514150339	0.8550119817086572	4	4	1663
