n_features	features	added_feature	macro_f1_mean	macro_f1_sem
2	mlc_score,phyloP100way		0.667777941905447	0.011151106532897302
3	mlc_score,phyloP100way,hom_rarity_soft	hom_rarity_soft	0.8735413324680856	0.011763352728443815
4	mlc_score,phyloP100way,hom_rarity_soft,cons_intergenic	cons_intergenic	0.8888357153664653	0.011747837733481467
5	mlc_score,phyloP100way,hom_rarity_soft,cons_intergenic,cons_noncoding_rna	cons_noncoding_rna	0.8982362706385415	0.010622943013515926
6	mlc_score,phyloP100way,hom_rarity_soft,cons_intergenic,cons_noncoding_rna,cons_missense	cons_missense	0.8982116943023084	0.009890765752572304
7	mlc_score,phyloP100way,hom_rarity_soft,cons_intergenic,cons_noncoding_rna,cons_missense,cons_truncating	cons_truncating	0.8966051660807224	0.010217475643018004
8	mlc_score,phyloP100way,hom_rarity_soft,cons_intergenic,cons_noncoding_rna,cons_missense,cons_truncating,cons_synonymous	cons_synonymous	0.8993147814864468	0.010377992756089463
9	mlc_score,phyloP100way,hom_rarity_soft,cons_intergenic,cons_noncoding_rna,cons_missense,cons_truncating,cons_synonymous,codon_pos2_any	codon_pos2_any	0.8948453019482296	0.010390274999552111
10	mlc_score,phyloP100way,hom_rarity_soft,cons_intergenic,cons_noncoding_rna,cons_missense,cons_truncating,cons_synonymous,codon_pos2_any,codon_pos3_any	codon_pos3_any	0.8910939385053138	0.008892758551460945
