model	macro_f1_full	macro_f1_control	delta
extra_trees	0.9003057918281666	0.9086690088174543	0.008363216989287658
hist_gradient_boosting	0.8970301395153243	0.880669754238124	-0.016360385277200296
ordinal_forest	0.8947374563644702	0.9018584539811961	0.00712099761672591
k_nearest_neighbors	0.894702394422874	0.9130667984339385	0.018364404011064428
random_forest	0.8923431011147486	0.9018584539811961	0.009515352866447557
svm_rbf	0.8137637293838502	0.860557023601469	0.0467932942176188
logistic_regression	0.686398268907839	0.7466705438093444	0.06027227490150544
prior_baseline	0.5025671664209483	0.4911416949264421	-0.011425471494506234
