score_name	threshold_name	neutral_quantile	threshold_value	n_neutral_above_threshold	fraction_neutral_above_threshold
mlc_only	T90	0.9	0.07787688332186937	827	0.09983099951714147
mlc_only	T95	0.95	0.09956728879725009	415	0.05009657170449058
mlc_only	T99	0.99	0.22406917286449712	81	0.009777885079671656
population_only	T90	0.9	0.0388421722742316	829	0.10007242877836794
population_only	T95	0.95	0.08659057428754696	415	0.05009657170449058
population_only	T99	0.99	0.16186585191320438	83	0.010019314340898117
combined_mlc_population	T90	0.9	0.039101235131126934	829	0.10007242877836794
combined_mlc_population	T95	0.95	0.07507893906218299	414	0.049975857073877354
combined_mlc_population	T99	0.99	0.15737979842047795	83	0.010019314340898117
